"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","AA/AO","AA","15","15","19940","20430"
"In post","2022","Attorney General's Departments","AA/AO","AO","1515","1390","22740","22200"
"In post","2022","Attorney General's Departments","EO","EO","1875","1760","27830","27580"
"In post","2022","Attorney General's Departments","G6/G7","G6","1160","1075","68800","66790"
"In post","2022","Attorney General's Departments","G6/G7","G7","3870","3580","55000","53050"
"In post","2022","Attorney General's Departments","SCS level","SCS level","315","300","87210","82500"
"In post","2022","Attorney General's Departments","SEO/HEO","HEO","1055","1015","34810","33310"
"In post","2022","Attorney General's Departments","SEO/HEO","SEO","405","395","40130","39750"
"In post","2022","Cabinet Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA/AO","AO","495","465","21810","21050"
"In post","2022","Cabinet Office","EO","EO","1055","1020","26570","27500"
"In post","2022","Cabinet Office","G6/G7","G6","1135","1120","69310","65660"
"In post","2022","Cabinet Office","G6/G7","G7","2875","2820","56230","54700"
"In post","2022","Cabinet Office","SCS level","SCS level","775","760","100190","93000"
"In post","2022","Cabinet Office","SEO/HEO","HEO","3365","3330","31680","32000"
"In post","2022","Cabinet Office","SEO/HEO","SEO","1355","1325","39940","40600"
"In post","2022","Chancellor's other departments","AA/AO","AO","20","20","23560","24020"
"In post","2022","Chancellor's other departments","EO","EO","40","40","28940","29210"
"In post","2022","Chancellor's other departments","G6/G7","G6","120","110","89560","81650"
"In post","2022","Chancellor's other departments","G6/G7","G7","85","85","55300","56480"
"In post","2022","Chancellor's other departments","SCS level","SCS level","15","15","117330","110000"
"In post","2022","Chancellor's other departments","SEO/HEO","HEO","75","70","36740","36550"
"In post","2022","Chancellor's other departments","SEO/HEO","SEO","70","70","45510","45230"
"In post","2022","Charity Commission","AA/AO","AO","30","25","18960","19980"
"In post","2022","Charity Commission","EO","EO","115","110","25080","24440"
