"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","Westminster","10","10","38800","34500"
"In post","2022","Attorney General's Departments","Commercial","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","West Midlands (England)","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Yorkshire and The Humber","York","15","15","37910","34390"
"In post","2022","Attorney General's Departments","Communications","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","Westminster","65","65","42220","39750"
"In post","2022","Attorney General's Departments","Communications","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Yorkshire and The Humber","Wakefield","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","Westminster","10","10","46840","39290"
"In post","2022","Attorney General's Departments","Counter Fraud","London","Westminster","245","240","46670","40270"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","Westminster","85","85","44230","40170"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North East (England)","South Teesside","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North East (England)","Tyneside","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South West (England)","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Wales","Flintshire and Wrexham","5","5","[c]","[c]"
