"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","AA/AO","65","60","21550","21260"
"In post","2022","16-19","Asian","EO","30","30","26230","26590"
"In post","2022","16-19","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Black","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","AA/AO","15","15","[c]","[c]"
"In post","2022","16-19","Mixed","EO","5","5","[c]","[c]"
"In post","2022","16-19","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","350","330","21540","21250"
"In post","2022","16-19","Unknown","EO","105","105","22570","24490"
"In post","2022","16-19","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","45","45","17940","16720"
"In post","2022","16-19","White","AA/AO","445","430","21350","21250"
"In post","2022","16-19","White","EO","155","155","23460","24300"
"In post","2022","16-19","White","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Unknown","30","30","[c]","[c]"
"In post","2022","20-29","Asian","AA/AO","1860","1775","22180","21260"
"In post","2022","20-29","Asian","EO","2535","2505","27970","27570"
"In post","2022","20-29","Asian","G6/G7","340","340","55080","54110"
"In post","2022","20-29","Asian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","SEO/HEO","2010","1995","35360","34260"
"In post","2022","20-29","Asian","Unknown","165","160","25500","24090"
"In post","2022","20-29","Black","AA/AO","525","510","24210","23720"
"In post","2022","20-29","Black","EO","965","955","28750","28500"
"In post","2022","20-29","Black","G6/G7","100","100","55080","53760"
"In post","2022","20-29","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SEO/HEO","640","635","35540","34550"
"In post","2022","20-29","Black","Unknown","145","145","26920","27060"
"In post","2022","20-29","Mixed","AA/AO","635","615","23530","21840"
"In post","2022","20-29","Mixed","EO","685","670","27930","27570"
"In post","2022","20-29","Mixed","G6/G7","195","195","55030","53600"
"In post","2022","20-29","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","SEO/HEO","810","805","35230","34260"
"In post","2022","20-29","Mixed","Unknown","110","110","25450","24090"
"In post","2022","20-29","Other ethnicity","AA/AO","120","115","23810","23140"
"In post","2022","20-29","Other ethnicity","EO","175","170","28300","27680"
"In post","2022","20-29","Other ethnicity","G6/G7","40","40","55470","53380"
"In post","2022","20-29","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SEO/HEO","165","165","36290","35290"
