"Status","Year","Profession_of_post","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Barnet","London","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","620","580","37710","34770"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","575","565","41970","38650"
"In post","2022","Commercial","Bedford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","Female","40","40","38940","36050"
"In post","2022","Commercial","Birmingham","Outside London","Male","35","35","34160","32690"
"In post","2022","Commercial","Blackburn with Darwen","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackburn with Darwen","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","Female","30","25","35660","31990"
"In post","2022","Commercial","Blackpool","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","Female","50","45","36370","35900"
"In post","2022","Commercial","Bristol, City of","Outside London","Male","30","30","39910","38370"
"In post","2022","Commercial","Buckinghamshire","Outside London","Female","40","35","38030","37500"
"In post","2022","Commercial","Buckinghamshire","Outside London","Male","25","25","[c]","[c]"
"In post","2022","Commercial","Calderdale and Kirklees","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Calderdale and Kirklees","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","Female","35","35","35140","34800"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Outside London","Female","85","80","35520","34800"
"In post","2022","Commercial","Central Hampshire","Outside London","Male","55","55","33650","33430"
"In post","2022","Commercial","Central Valleys","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Valleys","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","Outside London","Male","35","35","40280","37030"
"In post","2022","Commercial","Clackmannanshire and Fife","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Conwy and Denbighshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Conwy and Denbighshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Coventry","Outside London","Female","35","30","39350","36780"
"In post","2022","Commercial","Coventry","Outside London","Male","30","30","[c]","[c]"
"In post","2022","Commercial","Croydon","London","Female","70","70","42810","41950"
"In post","2022","Commercial","Croydon","London","Male","40","40","43980","42170"
"In post","2022","Commercial","Darlington","Outside London","Female","45","40","36770","36500"
"In post","2022","Commercial","Darlington","Outside London","Male","30","30","[c]","[c]"
"In post","2022","Commercial","Devon CC","Outside London","Female","115","105","42220","39650"
"In post","2022","Commercial","Devon CC","Outside London","Male","90","90","45660","45810"
"In post","2022","Commercial","Dorset","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dudley","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dudley","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Durham","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Durham","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Commercial","East Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Derbyshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Derbyshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Commercial","East Kent","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Kent","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Lancashire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Merseyside","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Commercial","East Merseyside","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Commercial","East Riding of Yorkshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Riding of Yorkshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Surrey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Surrey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Sussex CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Sussex CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Enfield","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Enfield","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Falkirk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Falkirk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Flintshire and Wrexham","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Flintshire and Wrexham","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Glasgow City","Outside London","Female","55","55","33620","33000"
"In post","2022","Commercial","Glasgow City","Outside London","Male","55","55","33960","33000"
"In post","2022","Commercial","Gloucestershire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester North East","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester North East","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester North West","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester North West","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester South West","Outside London","Female","50","45","38910","40180"
"In post","2022","Commercial","Greater Manchester South West","Outside London","Male","40","35","41790","40520"
"In post","2022","Commercial","Gwent Valleys","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gwent Valleys","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gwynedd","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gwynedd","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hackney and Newham","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hackney and Newham","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Haringey and Islington","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Haringey and Islington","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Harrow and Hillingdon","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Harrow and Hillingdon","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hartlepool and Stockton-on-Tees","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hartlepool and Stockton-on-Tees","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Heart of Essex","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Heart of Essex","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Herefordshire, County of","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Herefordshire, County of","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hertfordshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hertfordshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hounslow and Richmond upon Thames","London","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Hounslow and Richmond upon Thames","London","Male","25","25","[c]","[c]"
"In post","2022","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Isle of Anglesey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Isle of Anglesey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Isle of Wight","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Isle of Wight","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kensington & Chelsea and Hammersmith & Fulham","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kensington & Chelsea and Hammersmith & Fulham","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kent Thames Gateway","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kent Thames Gateway","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kingston upon Hull, City of","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kingston upon Hull, City of","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lambeth","London","Female","15","15","[c]","[c]"
