"Status","Year","Age","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Project Delivery","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Property","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Property","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Outside London","Heterosexual / straight","55","55","18940","18030"
"In post","2022","16-19","Science and Engineering","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Outside London","Unknown","55","55","17920","17140"
"In post","2022","16-19","Security","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Security","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Tax","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Outside London","Unknown","35","35","21410","21250"
"In post","2022","16-19","Unknown","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","London","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","Heterosexual / straight","35","35","21990","21050"
"In post","2022","16-19","Unknown","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","Unknown","45","40","22470","21250"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","London","Heterosexual / straight","145","145","38790","36650"
"In post","2022","20-29","Commercial","London","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Commercial","London","Undeclared","50","50","42070","40650"
"In post","2022","20-29","Commercial","London","Unknown","45","45","37610","34710"
"In post","2022","20-29","Commercial","Outside London","Heterosexual / straight","530","525","29860","29360"
"In post","2022","20-29","Commercial","Outside London","LGBO","65","65","30760","29880"
"In post","2022","20-29","Commercial","Outside London","Undeclared","40","40","32770","32120"
"In post","2022","20-29","Commercial","Outside London","Unknown","155","155","29340","27080"
"In post","2022","20-29","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","London","Heterosexual / straight","340","335","37330","36520"
"In post","2022","20-29","Communications","London","LGBO","65","60","38130","34710"
"In post","2022","20-29","Communications","London","Undeclared","90","90","35130","32600"
"In post","2022","20-29","Communications","London","Unknown","150","150","37490","36520"
"In post","2022","20-29","Communications","Outside London","Heterosexual / straight","170","165","30240","30190"
"In post","2022","20-29","Communications","Outside London","LGBO","30","30","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","Unknown","45","45","30170","29360"
"In post","2022","20-29","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","Heterosexual / straight","105","105","28760","26090"
"In post","2022","20-29","Counter Fraud","London","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","Unknown","25","25","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Outside London","Heterosexual / straight","390","385","26600","27570"
"In post","2022","20-29","Counter Fraud","Outside London","LGBO","40","40","26480","27570"
"In post","2022","20-29","Counter Fraud","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Outside London","Unknown","50","50","27240","27570"
"In post","2022","20-29","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","London","Heterosexual / straight","405","405","38450","37610"
"In post","2022","20-29","Digital, Data and Technology","London","LGBO","65","65","41610","40230"
"In post","2022","20-29","Digital, Data and Technology","London","Undeclared","55","55","40210","34570"
"In post","2022","20-29","Digital, Data and Technology","London","Unknown","210","210","38180","36650"
"In post","2022","20-29","Digital, Data and Technology","Outside London","Heterosexual / straight","1255","1250","32420","31350"
"In post","2022","20-29","Digital, Data and Technology","Outside London","LGBO","180","175","30660","30210"
"In post","2022","20-29","Digital, Data and Technology","Outside London","Undeclared","145","145","31740","30600"
"In post","2022","20-29","Digital, Data and Technology","Outside London","Unknown","610","605","32530","31190"
"In post","2022","20-29","Digital, Data and Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","London","Heterosexual / straight","620","615","40030","35640"
"In post","2022","20-29","Economics","London","LGBO","75","75","40470","35640"
"In post","2022","20-29","Economics","London","Undeclared","75","75","39300","35050"
"In post","2022","20-29","Economics","London","Unknown","175","170","37380","34260"
"In post","2022","20-29","Economics","Outside London","Heterosexual / straight","150","150","33400","31000"
"In post","2022","20-29","Economics","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Economics","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Economics","Outside London","Unknown","45","45","31470","30710"
"In post","2022","20-29","Economics","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","London","Heterosexual / straight","300","300","40960","39910"
"In post","2022","20-29","Finance","London","LGBO","25","25","[c]","[c]"
"In post","2022","20-29","Finance","London","Undeclared","65","65","39780","40050"
"In post","2022","20-29","Finance","London","Unknown","75","75","38870","37300"
"In post","2022","20-29","Finance","Outside London","Heterosexual / straight","770","760","30100","28900"
"In post","2022","20-29","Finance","Outside London","LGBO","65","65","30760","29360"
"In post","2022","20-29","Finance","Outside London","Undeclared","80","80","30040","26790"
"In post","2022","20-29","Finance","Outside London","Unknown","210","205","29190","26900"
"In post","2022","20-29","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Geography","Outside London","Heterosexual / straight","65","65","26510","26740"
"In post","2022","20-29","Geography","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Geography","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Geography","Outside London","Unknown","40","40","23820","20420"
"In post","2022","20-29","Human Resources","London","Heterosexual / straight","355","350","36460","33120"
"In post","2022","20-29","Human Resources","London","LGBO","65","65","38130","35060"
"In post","2022","20-29","Human Resources","London","Undeclared","55","55","33570","31320"
"In post","2022","20-29","Human Resources","London","Unknown","55","55","37230","33610"
"In post","2022","20-29","Human Resources","Outside London","Heterosexual / straight","545","540","29070","27660"
"In post","2022","20-29","Human Resources","Outside London","LGBO","80","80","29230","27570"
"In post","2022","20-29","Human Resources","Outside London","Undeclared","45","45","27880","25300"
"In post","2022","20-29","Human Resources","Outside London","Unknown","140","140","27420","26350"
"In post","2022","20-29","Human Resources","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","London","Heterosexual / straight","155","155","34650","35500"
"In post","2022","20-29","Intelligence Analysis","London","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","London","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","London","Unknown","70","70","34560","34710"
"In post","2022","20-29","Intelligence Analysis","Outside London","Heterosexual / straight","165","165","27340","26330"
"In post","2022","20-29","Intelligence Analysis","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","Outside London","Undeclared","20","15","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","Outside London","Unknown","45","45","27250","26350"
"In post","2022","20-29","Intelligence Analysis","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","International Trade","London","Heterosexual / straight","240","240","38300","38160"
"In post","2022","20-29","International Trade","London","LGBO","40","40","39030","38160"
"In post","2022","20-29","International Trade","London","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","International Trade","London","Unknown","145","145","39480","38160"
"In post","2022","20-29","International Trade","Outside London","Heterosexual / straight","30","30","31570","32590"
"In post","2022","20-29","International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","International Trade","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","International Trade","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","International Trade","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","International Trade","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","International Trade","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","International Trade","Overseas","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","London","Heterosexual / straight","70","65","36350","33570"
"In post","2022","20-29","Knowledge and Information Management","London","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","London","Unknown","30","30","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Outside London","Heterosexual / straight","120","120","27430","26670"
"In post","2022","20-29","Knowledge and Information Management","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Outside London","Unknown","30","30","25580","26290"
"In post","2022","20-29","Knowledge and Information Management","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","London","Heterosexual / straight","305","305","39570","37610"
"In post","2022","20-29","Legal","London","LGBO","45","45","42210","42360"
"In post","2022","20-29","Legal","London","Undeclared","30","30","37640","33460"
"In post","2022","20-29","Legal","London","Unknown","130","130","35400","34260"
"In post","2022","20-29","Legal","Outside London","Heterosexual / straight","565","560","34010","30450"
"In post","2022","20-29","Legal","Outside London","LGBO","40","40","32410","29860"
"In post","2022","20-29","Legal","Outside London","Undeclared","30","30","32740","30690"
"In post","2022","20-29","Legal","Outside London","Unknown","200","200","30600","26970"
"In post","2022","20-29","Medicine","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","20-29","Medicine","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Outside London","Heterosexual / straight","70","70","32380","31530"
"In post","2022","20-29","Medicine","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Medicine","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Outside London","Unknown","25","25","[c]","[c]"
"In post","2022","20-29","Medicine","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","London","Heterosexual / straight","3560","3510","31240","31060"
"In post","2022","20-29","Operational Delivery","London","LGBO","375","370","32490","31060"
"In post","2022","20-29","Operational Delivery","London","Undeclared","340","330","31710","31060"
"In post","2022","20-29","Operational Delivery","London","Unknown","1505","1490","30940","29020"
"In post","2022","20-29","Operational Delivery","Outside London","Heterosexual / straight","20205","19785","25230","24800"
"In post","2022","20-29","Operational Delivery","Outside London","LGBO","2485","2445","24920","23880"
"In post","2022","20-29","Operational Delivery","Outside London","Undeclared","1330","1295","25330","24880"
"In post","2022","20-29","Operational Delivery","Outside London","Unknown","8510","8325","24260","23140"
"In post","2022","20-29","Operational Delivery","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Unknown","Heterosexual / straight","55","55","26990","27570"
"In post","2022","20-29","Operational Delivery","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Operational Research","London","Heterosexual / straight","70","70","41490","37610"
"In post","2022","20-29","Operational Research","London","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Operational Research","London","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Operational Research","London","Unknown","25","25","[c]","[c]"
"In post","2022","20-29","Operational Research","Outside London","Heterosexual / straight","75","75","33070","33000"
"In post","2022","20-29","Operational Research","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Operational Research","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Research","Outside London","Unknown","95","95","32300","29230"
"In post","2022","20-29","Other","London","Heterosexual / straight","605","600","31800","31060"
"In post","2022","20-29","Other","London","LGBO","60","60","31610","28650"
"In post","2022","20-29","Other","London","Undeclared","50","50","33240","31060"
"In post","2022","20-29","Other","London","Unknown","180","180","33520","31060"
"In post","2022","20-29","Other","Outside London","Heterosexual / straight","1645","1610","24670","22100"
"In post","2022","20-29","Other","Outside London","LGBO","195","195","24300","21260"
"In post","2022","20-29","Other","Outside London","Undeclared","105","105","24270","21680"
"In post","2022","20-29","Other","Outside London","Unknown","350","340","24760","21640"
"In post","2022","20-29","Other","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Other","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Overseas","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","Unknown","Unknown","365","365","28270","28980"
