"Status","Year","Parent_department","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Heterosexual / straight","140","125","42640","40000"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Unknown","35","30","47590","53050"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","95","85","41270","35020"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Unknown","30","25","47820","53050"
"In post","2022","Attorney General's Departments","Cheshire","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Heterosexual / straight","235","220","37920","31080"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Unknown","60","55","42230","48080"
"In post","2022","Attorney General's Departments","Devon","Heterosexual / straight","80","80","39190","34480"
"In post","2022","Attorney General's Departments","Devon","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Anglia","Heterosexual / straight","90","80","35560","28430"
"In post","2022","Attorney General's Departments","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Anglia","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Anglia","Unknown","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","East Wales","Heterosexual / straight","225","210","40220","38180"
"In post","2022","Attorney General's Departments","East Wales","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East Wales","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East Wales","Unknown","65","60","43320","48830"
"In post","2022","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","55","50","41150","48080"
"In post","2022","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Unknown","20","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex","Heterosexual / straight","160","150","42090","40000"
"In post","2022","Attorney General's Departments","Essex","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex","Undeclared","[c]","[c]","[c]","[c]"
