"Status","Year","Age","Ethnicity","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","East of England","Female","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","London","Female","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","London","Male","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","North East (England)","Female","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","North East (England)","Male","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","North West (England)","Female","30","30","[c]","[c]"
"In post","2022","16-19","Unknown","North West (England)","Male","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Scotland","Female","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Scotland","Male","40","40","21140","21250"
"In post","2022","16-19","Unknown","South East (England)","Female","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","South East (England)","Male","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","South West (England)","Female","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","South West (England)","Male","45","45","18030","17140"
"In post","2022","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Male","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Wales","Female","30","25","[c]","[c]"
"In post","2022","16-19","Unknown","Wales","Male","30","25","[c]","[c]"
"In post","2022","16-19","Unknown","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","West Midlands (England)","Male","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","Yorkshire and The Humber","Female","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","Yorkshire and The Humber","Male","20","20","[c]","[c]"
"In post","2022","16-19","White","East Midlands (England)","Female","15","15","[c]","[c]"
"In post","2022","16-19","White","East Midlands (England)","Male","10","10","[c]","[c]"
"In post","2022","16-19","White","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","East of England","Female","20","20","[c]","[c]"
"In post","2022","16-19","White","East of England","Male","10","10","[c]","[c]"
"In post","2022","16-19","White","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","London","Female","35","35","25260","24680"
"In post","2022","16-19","White","London","Male","20","20","[c]","[c]"
"In post","2022","16-19","White","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","North East (England)","Female","20","20","[c]","[c]"
"In post","2022","16-19","White","North East (England)","Male","15","15","[c]","[c]"
"In post","2022","16-19","White","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","North West (England)","Female","50","50","22230","21260"
"In post","2022","16-19","White","North West (England)","Male","30","30","22850","21260"
"In post","2022","16-19","White","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Scotland","Female","40","40","21700","21250"
"In post","2022","16-19","White","Scotland","Male","30","30","21520","21150"
"In post","2022","16-19","White","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","South East (England)","Female","30","30","23230","21680"
"In post","2022","16-19","White","South East (England)","Male","45","45","21390","21600"
"In post","2022","16-19","White","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","South West (England)","Female","40","40","20050","19610"
"In post","2022","16-19","White","South West (England)","Male","65","65","19720","19460"
"In post","2022","16-19","White","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Wales","Female","40","35","21300","21250"
"In post","2022","16-19","White","Wales","Male","35","35","19620","18310"
"In post","2022","16-19","White","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","West Midlands (England)","Female","15","15","[c]","[c]"
"In post","2022","16-19","White","West Midlands (England)","Male","15","15","[c]","[c]"
"In post","2022","16-19","White","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Yorkshire and The Humber","Female","20","20","[c]","[c]"
"In post","2022","16-19","White","Yorkshire and The Humber","Male","20","20","[c]","[c]"
"In post","2022","16-19","White","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","East Midlands (England)","Female","175","170","25520","24620"
"In post","2022","20-29","Asian","East Midlands (England)","Male","175","175","26240","26590"
"In post","2022","20-29","Asian","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","East of England","Female","120","115","27610","27570"
"In post","2022","20-29","Asian","East of England","Male","65","65","26790","24970"
"In post","2022","20-29","Asian","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","London","Female","1720","1700","34050","31950"
"In post","2022","20-29","Asian","London","Male","1200","1195","34950","32330"
"In post","2022","20-29","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","North East (England)","Female","60","60","25730","22690"
"In post","2022","20-29","Asian","North East (England)","Male","75","70","25900","24130"
"In post","2022","20-29","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","North West (England)","Female","375","360","25820","25000"
"In post","2022","20-29","Asian","North West (England)","Male","405","400","27110","26700"
"In post","2022","20-29","Asian","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Overseas","Female","10","10","[c]","[c]"
"In post","2022","20-29","Asian","Overseas","Male","10","10","[c]","[c]"
"In post","2022","20-29","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Scotland","Female","75","75","27440","24880"
"In post","2022","20-29","Asian","Scotland","Male","55","50","26490","24720"
"In post","2022","20-29","Asian","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","South East (England)","Female","140","135","28540","28800"
"In post","2022","20-29","Asian","South East (England)","Male","90","90","28170","27270"
"In post","2022","20-29","Asian","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","South West (England)","Female","90","85","26810","26030"
"In post","2022","20-29","Asian","South West (England)","Male","100","95","28730","27540"
"In post","2022","20-29","Asian","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Unknown","Female","15","15","[c]","[c]"
"In post","2022","20-29","Asian","Unknown","Male","10","10","[c]","[c]"
"In post","2022","20-29","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Wales","Female","60","60","28070","27570"
"In post","2022","20-29","Asian","Wales","Male","70","70","25110","21940"
"In post","2022","20-29","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","West Midlands (England)","Female","540","520","25510","25000"
"In post","2022","20-29","Asian","West Midlands (England)","Male","435","430","27030","26590"
"In post","2022","20-29","Asian","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Yorkshire and The Humber","Female","415","395","25840","26080"
"In post","2022","20-29","Asian","Yorkshire and The Humber","Male","415","405","25850","26590"
"In post","2022","20-29","Asian","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","East Midlands (England)","Female","45","45","26090","25590"
"In post","2022","20-29","Black","East Midlands (England)","Male","25","25","[c]","[c]"
"In post","2022","20-29","Black","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","East of England","Female","55","55","27950","27570"
"In post","2022","20-29","Black","East of England","Male","30","30","27090","28140"
"In post","2022","20-29","Black","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","London","Female","1125","1110","32310","31060"
"In post","2022","20-29","Black","London","Male","420","420","32580","31060"
"In post","2022","20-29","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","North East (England)","Female","10","10","[c]","[c]"
"In post","2022","20-29","Black","North East (England)","Male","10","10","[c]","[c]"
"In post","2022","20-29","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","North West (England)","Female","100","95","27840","26820"
"In post","2022","20-29","Black","North West (England)","Male","55","55","27650","26590"
"In post","2022","20-29","Black","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Scotland","Female","15","15","[c]","[c]"
"In post","2022","20-29","Black","Scotland","Male","10","10","[c]","[c]"
"In post","2022","20-29","Black","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","South East (England)","Female","75","75","27960","27570"
"In post","2022","20-29","Black","South East (England)","Male","30","30","28150","28690"
"In post","2022","20-29","Black","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","South West (England)","Female","30","25","[c]","[c]"
"In post","2022","20-29","Black","South West (England)","Male","25","25","[c]","[c]"
"In post","2022","20-29","Black","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Unknown","Female","10","10","[c]","[c]"
"In post","2022","20-29","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Wales","Female","20","20","[c]","[c]"
"In post","2022","20-29","Black","Wales","Male","15","15","[c]","[c]"
"In post","2022","20-29","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","West Midlands (England)","Female","120","115","26270","25850"
"In post","2022","20-29","Black","West Midlands (England)","Male","55","55","27170","27570"
"In post","2022","20-29","Black","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Yorkshire and The Humber","Female","60","60","26740","26820"
"In post","2022","20-29","Black","Yorkshire and The Humber","Male","25","25","[c]","[c]"
"In post","2022","20-29","Black","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","East Midlands (England)","Female","65","60","25140","24260"
"In post","2022","20-29","Mixed","East Midlands (England)","Male","45","45","26070","25850"
"In post","2022","20-29","Mixed","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","East of England","Female","60","55","27420","28140"
"In post","2022","20-29","Mixed","East of England","Male","40","40","26780","27570"
"In post","2022","20-29","Mixed","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","London","Female","655","640","35600","33210"
"In post","2022","20-29","Mixed","London","Male","435","430","37230","34260"
"In post","2022","20-29","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","North East (England)","Female","40","40","26670","27570"
"In post","2022","20-29","Mixed","North East (England)","Male","25","25","[c]","[c]"
