"Status","Year","Age","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","EO","5","5","[c]","[c]"
"In post","2022","16-19","Commercial","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","AA/AO","40","40","21250","21250"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Defence Equipment and Support","EO","15","15","19730","19460"
"In post","2022","16-19","Finance","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs (excl. agencies)","AA/AO","10","10","21250","21250"
"In post","2022","16-19","Finance","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","AA/AO","10","10","20720","21300"
"In post","2022","16-19","Grants Management","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Crown Prosecution Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
