"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Angus and Dundee City","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","15","15","27540","27850"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","10","10","60480","57540"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","45","40","38030","36300"
"In post","2022","Analysis","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Birmingham","G6/G7","10","10","64380","55210"
"In post","2022","Analysis","Birmingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","SEO/HEO","30","30","41210","39740"
"In post","2022","Analysis","Blackpool","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","EO","25","25","26100","25880"
"In post","2022","Analysis","Bristol, City of","G6/G7","30","25","58670","59220"
"In post","2022","Analysis","Bristol, City of","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","SEO/HEO","80","75","36280","36500"
"In post","2022","Analysis","Buckinghamshire","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
