"Status","Year","Region_ITL2","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","AA","Female","Heterosexual / straight","80","70","20500","19810"
"In post","2022","Bedfordshire and Hertfordshire","AA","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA","Female","Undeclared","10","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA","Male","Heterosexual / straight","90","90","21420","21790"
"In post","2022","Bedfordshire and Hertfordshire","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AO","Female","Heterosexual / straight","385","350","24560","23770"
"In post","2022","Bedfordshire and Hertfordshire","AO","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AO","Female","Undeclared","50","40","24240","23720"
"In post","2022","Bedfordshire and Hertfordshire","AO","Female","Unknown","85","75","24690","23720"
"In post","2022","Bedfordshire and Hertfordshire","AO","Male","Heterosexual / straight","265","260","27440","28140"
"In post","2022","Bedfordshire and Hertfordshire","AO","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AO","Male","Undeclared","25","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AO","Male","Unknown","95","95","27080","27860"
"In post","2022","Bedfordshire and Hertfordshire","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","EO","Female","Heterosexual / straight","715","655","28670","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Female","LGBO","30","25","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","EO","Female","Undeclared","65","60","29790","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Female","Unknown","135","120","29270","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Male","Heterosexual / straight","470","455","29270","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Male","LGBO","35","35","28930","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Male","Undeclared","70","65","29490","29170"
"In post","2022","Bedfordshire and Hertfordshire","EO","Male","Unknown","90","85","29390","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6","Female","Heterosexual / straight","40","40","70590","68500"
"In post","2022","Bedfordshire and Hertfordshire","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6","Male","Heterosexual / straight","40","40","69090","68190"
"In post","2022","Bedfordshire and Hertfordshire","G6","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G7","Female","Heterosexual / straight","110","100","58140","56560"
"In post","2022","Bedfordshire and Hertfordshire","G7","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G7","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G7","Female","Unknown","35","30","57420","56720"
"In post","2022","Bedfordshire and Hertfordshire","G7","Male","Heterosexual / straight","100","100","58730","57950"
"In post","2022","Bedfordshire and Hertfordshire","G7","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G7","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G7","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","HEO","Female","Heterosexual / straight","235","225","34920","34640"
"In post","2022","Bedfordshire and Hertfordshire","HEO","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","HEO","Female","Undeclared","25","25","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","HEO","Female","Unknown","40","35","36500","35120"
"In post","2022","Bedfordshire and Hertfordshire","HEO","Male","Heterosexual / straight","220","215","35570","36240"
"In post","2022","Bedfordshire and Hertfordshire","HEO","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","HEO","Male","Undeclared","45","45","35810","35090"
"In post","2022","Bedfordshire and Hertfordshire","HEO","Male","Unknown","40","40","35730","34580"
"In post","2022","Bedfordshire and Hertfordshire","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","Male","Heterosexual / straight","20","20","[c]","[c]"
