"Status","Year","Ethnicity","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","Female","30","25","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","London","Female","100","90","30750","31060"
"In post","2022","Asian","Barking & Dagenham and Havering","London","Male","70","70","31410","31060"
"In post","2022","Asian","Barking & Dagenham and Havering","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnet","London","Female","300","275","37040","31880"
"In post","2022","Asian","Barnet","London","Male","155","150","40350","37840"
"In post","2022","Asian","Barnet","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Outside London","Male","20","15","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","160","145","33830","31600"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","240","240","37280","34690"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedford","Outside London","Female","60","55","27120","27570"
"In post","2022","Asian","Bedford","Outside London","Male","30","25","[c]","[c]"
"In post","2022","Asian","Bedford","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","Outside London","Female","10","5","[c]","[c]"
"In post","2022","Asian","Belfast","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire","Outside London","Female","210","185","30050","29290"
"In post","2022","Asian","Berkshire","Outside London","Male","105","105","31320","29290"
"In post","2022","Asian","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bexley and Greenwich","London","Female","65","55","29930","30170"
"In post","2022","Asian","Bexley and Greenwich","London","Male","50","50","32550","31060"
"In post","2022","Asian","Bexley and Greenwich","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Birmingham","Outside London","Female","1650","1495","27730","26290"
"In post","2022","Asian","Birmingham","Outside London","Male","1385","1350","29050","27570"
"In post","2022","Asian","Birmingham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackburn with Darwen","Outside London","Female","65","50","25160","24800"
"In post","2022","Asian","Blackburn with Darwen","Outside London","Male","70","65","27350","27570"
"In post","2022","Asian","Blackburn with Darwen","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackpool","Outside London","Female","40","35","29480","27570"
"In post","2022","Asian","Blackpool","Outside London","Male","90","90","29840","27570"
"In post","2022","Asian","Blackpool","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","Outside London","Female","10","5","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bradford","Outside London","Female","420","355","24600","21260"
"In post","2022","Asian","Bradford","Outside London","Male","410","390","24600","21260"
