"Status","Year","Function_of_post","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Heterosexual / straight","50","50","42700","39570"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","Heterosexual / straight","65","60","49130","53230"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","Heterosexual / straight","65","65","43550","42580"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","Heterosexual / straight","85","80","45550","45250"
"In post","2022","Analysis","Department for Education","Policy","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","Heterosexual / straight","170","160","34160","30220"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","Undeclared","30","25","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","Unknown","260","250","34470","30220"
"In post","2022","Analysis","Department for International Trade","Economics","Heterosexual / straight","100","95","45710","51710"
"In post","2022","Analysis","Department for International Trade","Economics","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Economics","Unknown","35","35","42380","32730"
"In post","2022","Analysis","Department for International Trade","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","Heterosexual / straight","40","40","44760","40270"
"In post","2022","Analysis","Department for International Trade","Statistics","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","Heterosexual / straight","50","50","47460","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","Heterosexual / straight","110","105","46680","42980"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Economics","Heterosexual / straight","85","80","49680","54110"
"In post","2022","Analysis","Department for Transport","Economics","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Economics","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Economics","Unknown","40","40","43270","34710"
"In post","2022","Analysis","Department for Transport","Operational Research","Heterosexual / straight","60","55","35710","33010"
"In post","2022","Analysis","Department for Transport","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Operational Research","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Other","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Other","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","Heterosexual / straight","30","30","51140","54110"
"In post","2022","Analysis","Department for Transport","Social Research","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Statistics","Heterosexual / straight","55","55","43910","42470"
"In post","2022","Analysis","Department for Transport","Statistics","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Statistics","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Statistics","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Economics","Heterosexual / straight","40","35","40840","37380"
"In post","2022","Analysis","Department for Work and Pensions","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Economics","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","Heterosexual / straight","30","30","39440","35530"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Research","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Policy","Heterosexual / straight","165","155","47100","40700"
"In post","2022","Analysis","Department for Work and Pensions","Policy","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Policy","Undeclared","20","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Policy","Unknown","45","40","45390","42480"
"In post","2022","Analysis","Department for Work and Pensions","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Social Research","Heterosexual / straight","35","30","35690","37380"
"In post","2022","Analysis","Department for Work and Pensions","Social Research","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","Heterosexual / straight","160","150","46040","40700"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","Heterosexual / straight","50","45","33660","25110"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Commercial","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Economics","Heterosexual / straight","60","55","48700","51990"
"In post","2022","Analysis","Department of Health and Social Care","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Economics","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Medicine","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Medicine","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Operational Delivery","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Operational Delivery","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Other","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Policy","Heterosexual / straight","105","100","52840","53360"
"In post","2022","Analysis","Department of Health and Social Care","Policy","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Policy","Undeclared","50","50","53650","53360"
"In post","2022","Analysis","Department of Health and Social Care","Science and Engineering","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Science and Engineering","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Statistics","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Statistics","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Statistics","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Estyn","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Intelligence Analysis","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
