"Status","Year","Function_of_post","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","220","205","31590","29750"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","250","245","36600","32770"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","Female","55","50","60650","56360"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","Male","80","80","63000","57840"
"In post","2022","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Female","155","145","38820","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Male","355","340","42090","42020"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","90","90","41780","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","160","160","43320","37820"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","60","55","46740","38320"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","90","90","48810","55730"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Female","115","110","43940","42500"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Male","85","85","45600","45540"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","Female","100","95","42260","32920"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","Male","155","155","45180","48600"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Female","90","85","46540","48200"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Male","140","135","47210","53130"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","Female","160","150","48160","49700"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","Male","185","180","47360","47740"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","310","285","43400","37380"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","320","315","42510","36860"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","230","220","50700","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","175","175","51520","53360"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Female","30","30","27210","26130"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Male","30","25","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","25","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","35","35","59020","58370"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","Female","65","55","70470","69690"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","Male","125","120","69530","59780"
"In post","2022","Analysis","Government Internal Audit Agency","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","Male","25","25","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Female","25","25","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Male","35","30","42100","38800"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","Female","15","15","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","Male","15","15","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","325","310","45460","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","415","405","46430","40520"
"In post","2022","Analysis","HM Treasury (excl. agencies)","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury (excl. agencies)","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","30","30","48430","47060"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","135","125","38660","36000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","165","165","38840","36300"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","240","230","47430","42010"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","250","250","46500","42010"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","Female","10","10","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","Female","15","10","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Female","70","65","40690","34850"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Male","60","55","40060","35010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","60","60","41200","34000"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","115","115","45460","38500"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","Male","30","30","54140","55430"
"In post","2022","Analysis","Office of the Public Guardian","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Public Guardian","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","35","35","29500","29180"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","15","10","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","25","25","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","Female","5","5","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","Male","15","15","[c]","[c]"
