"Status","Year","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","AO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SEO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","AO","55","50","22080","21050"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SEO","35","35","49920","52520"
"In post","2022","Declared disabled","Crown Prosecution Service","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","AO","175","160","22690","22200"
"In post","2022","Declared disabled","Crown Prosecution Service","EO","170","150","28040","28430"
"In post","2022","Declared disabled","Crown Prosecution Service","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","G7","325","295","57050","55610"
"In post","2022","Declared disabled","Crown Prosecution Service","HEO","85","85","34440","34480"
"In post","2022","Declared disabled","Crown Prosecution Service","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","SEO","35","35","40560","39750"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","EO","270","250","23040","22560"
"In post","2022","Declared disabled","Defence Equipment and Support","G6","35","35","66860","66960"
"In post","2022","Declared disabled","Defence Equipment and Support","G7","105","105","51230","51700"
"In post","2022","Declared disabled","Defence Equipment and Support","HEO","320","310","30540","30910"
"In post","2022","Declared disabled","Defence Equipment and Support","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","SEO","320","305","40470","40610"
"In post","2022","Declared disabled","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","G7","90","85","49920","47010"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","HEO","70","65","30480","29230"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","SEO","55","55","39510","38070"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","50","50","28140","27680"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6","55","55","67100","66010"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G7","170","165","54850","53600"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","130","125","33870","33570"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","125","125","41320","40050"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","G7","45","45","53900","52130"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","HEO","70","70","35170","34020"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","EO","80","75","26670","26000"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","G6","55","55","64590","64180"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","G7","120","115","52520","50630"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","HEO","130","125","31230","30200"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","SEO","155","150","38990","37100"
