"Status","Year","Ethnicity","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","London","680","635","44520","50500"
"In post","2022","Asian","Attorney General's Departments","Outside London","375","345","39970","38760"
"In post","2022","Asian","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","455","445","47560","42270"
"In post","2022","Asian","Cabinet Office","Outside London","105","100","37040","32980"
"In post","2022","Asian","Cabinet Office","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","55","50","47300","45130"
"In post","2022","Asian","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","110","110","48930","42290"
"In post","2022","Asian","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","655","645","43410","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","295","280","31660","30360"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","145","145","44740","39020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education","London","295","285","44470","40780"
"In post","2022","Asian","Department for Education","Outside London","565","555","37620","36500"
"In post","2022","Asian","Department for Education","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","230","225","39680","34540"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Outside London","245","240","32680","29180"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","London","255","250","43900","38540"
"In post","2022","Asian","Department for International Trade","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Overseas","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","215","210","44270","39600"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Outside London","100","100","34970","31410"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","London","330","325","44410","42470"
"In post","2022","Asian","Department for Transport","Outside London","315","300","32740","26780"
"In post","2022","Asian","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","London","2555","2325","31410","31060"
"In post","2022","Asian","Department for Work and Pensions","Outside London","5525","5010","26780","27570"
"In post","2022","Asian","Department for Work and Pensions","Unknown","135","115","28770","29290"
"In post","2022","Asian","Department of Health and Social Care","London","865","825","42900","38930"
"In post","2022","Asian","Department of Health and Social Care","Outside London","410","380","39860","32310"
"In post","2022","Asian","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","London","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Outside London","60","60","34330","30810"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","London","325","315","43340","38210"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Outside London","70","70","35740","31280"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Overseas","95","95","46280","39230"
"In post","2022","Asian","HM Land Registry","London","50","45","38130","30600"
"In post","2022","Asian","HM Land Registry","Outside London","175","165","28920","27130"
"In post","2022","Asian","HM Revenue and Customs","London","1620","1540","40830","37930"
"In post","2022","Asian","HM Revenue and Customs","Outside London","4225","3995","29780","26820"
"In post","2022","Asian","HM Treasury","London","295","290","46000","41900"
"In post","2022","Asian","HM Treasury","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Home Office","London","3065","2870","34520","29370"
"In post","2022","Asian","Home Office","Outside London","1385","1270","26160","24890"
"In post","2022","Asian","Home Office","Overseas","40","40","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","London","375","365","35920","32690"
"In post","2022","Asian","Ministry of Defence","Outside London","1055","1020","34810","32730"
"In post","2022","Asian","Ministry of Defence","Overseas","20","20","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice","London","1705","1625","34590","31390"
"In post","2022","Asian","Ministry of Justice","Outside London","2735","2505","27240","24620"
"In post","2022","Asian","Ministry of Justice","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","National Crime Agency","London","150","150","39660","37860"
"In post","2022","Asian","National Crime Agency","Outside London","125","120","34740","36410"
"In post","2022","Asian","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","London","40","35","42970","42850"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Outside London","65","60","38540","32010"
"In post","2022","Asian","Office of Gas and Electricity Markets","London","120","115","42930","38500"
"In post","2022","Asian","Office of Gas and Electricity Markets","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Outside London","30","25","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","London","25","20","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government","Outside London","300","285","35730","31540"
"In post","2022","Asian","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","The National Archives","London","50","45","33970","32980"
"In post","2022","Asian","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Export Finance","London","90","90","50050","44080"
"In post","2022","Asian","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
