"Status","Year","Disability","Organisation","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Cheshire","Cheshire East","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","10","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Cumbria","East Cumbria","25","25","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Devon","Devon CC","30","25","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East Anglia","Suffolk CC","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","15","15","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Essex","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","10","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","10","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","30","30","30710","26520"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Highlands and Islands","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Lancashire","Mid Lancashire","20","15","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Lincolnshire","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","North Yorkshire","North Yorkshire CC","15","15","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","North Yorkshire","York","15","15","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Northumberland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Tyneside","10","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outer London - East and North East","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outer London - West and North West","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outer London - West and North West","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Shropshire and Staffordshire","Shropshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Shropshire and Staffordshire","Staffordshire CC","10","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Shropshire and Staffordshire","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Southern Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Southern Scotland","Scottish Borders","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Southern Scotland","South Ayrshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Southern Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Surrey, East and West Sussex","West Surrey","90","85","32900","28810"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Surrey, East and West Sussex","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","West Wales and The Valleys","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","West Wales and The Valleys","South West Wales","20","20","[c]","[c]"
