"Status","Year","Disability","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","East Midlands (England)","AA/AO","Heterosexual / straight","765","685","22180","21260"
"In post","2022","Declared disabled","East Midlands (England)","AA/AO","LGBO","75","70","23240","21260"
"In post","2022","Declared disabled","East Midlands (England)","AA/AO","Undeclared","105","90","22030","21260"
"In post","2022","Declared disabled","East Midlands (England)","AA/AO","Unknown","75","65","22100","21260"
"In post","2022","Declared disabled","East Midlands (England)","EO","Heterosexual / straight","670","605","27240","27570"
"In post","2022","Declared disabled","East Midlands (England)","EO","LGBO","75","70","27220","27570"
"In post","2022","Declared disabled","East Midlands (England)","EO","Undeclared","110","100","27400","27570"
"In post","2022","Declared disabled","East Midlands (England)","EO","Unknown","55","50","27510","27570"
"In post","2022","Declared disabled","East Midlands (England)","G6/G7","Heterosexual / straight","115","110","57720","55210"
"In post","2022","Declared disabled","East Midlands (England)","G6/G7","LGBO","15","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","SEO/HEO","Heterosexual / straight","415","395","36170","34010"
"In post","2022","Declared disabled","East Midlands (England)","SEO/HEO","LGBO","55","55","34420","33370"
"In post","2022","Declared disabled","East Midlands (England)","SEO/HEO","Undeclared","65","65","36760","33840"
"In post","2022","Declared disabled","East Midlands (England)","SEO/HEO","Unknown","30","30","34920","33370"
