"Status","Year","Age","Ethnicity","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - East","London","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - West","London","15","15","[c]","[c]"
"In post","2022","16-19","Asian","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lancashire","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Leicestershire, Rutland and Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
