"Status","Year","Age","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","AA/AO","AA","Heterosexual / straight","110","100","19630","19450"
"In post","2022","16-19","AA/AO","AA","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","AA/AO","AA","Undeclared","10","10","[c]","[c]"
"In post","2022","16-19","AA/AO","AA","Unknown","105","95","19690","20890"
"In post","2022","16-19","AA/AO","AO","Heterosexual / straight","350","345","21970","21260"
"In post","2022","16-19","AA/AO","AO","LGBO","35","30","23120","21840"
"In post","2022","16-19","AA/AO","AO","Undeclared","15","15","[c]","[c]"
"In post","2022","16-19","AA/AO","AO","Unknown","255","245","22150","21260"
"In post","2022","16-19","EO","EO","Heterosexual / straight","180","180","23870","24880"
"In post","2022","16-19","EO","EO","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","EO","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","16-19","EO","EO","Unknown","105","100","22520","24100"
"In post","2022","16-19","SEO/HEO","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","45","45","17940","16720"
"In post","2022","20-29","AA/AO","AA","Heterosexual / straight","1605","1555","20790","20890"
"In post","2022","20-29","AA/AO","AA","LGBO","250","245","20760","20890"
"In post","2022","20-29","AA/AO","AA","Undeclared","110","105","20640","20890"
"In post","2022","20-29","AA/AO","AA","Unknown","1010","975","20850","20890"
"In post","2022","20-29","AA/AO","AO","Heterosexual / straight","13790","13435","23220","21680"
"In post","2022","20-29","AA/AO","AO","LGBO","1770","1735","23030","21270"
"In post","2022","20-29","AA/AO","AO","Undeclared","950","920","23250","21520"
"In post","2022","20-29","AA/AO","AO","Unknown","7080","6895","22950","21640"
"In post","2022","20-29","EO","EO","Heterosexual / straight","14955","14790","27410","27540"
"In post","2022","20-29","EO","EO","LGBO","1715","1700","27320","27570"
"In post","2022","20-29","EO","EO","Undeclared","1180","1165","27420","27270"
"In post","2022","20-29","EO","EO","Unknown","5300","5250","27200","26820"
"In post","2022","20-29","G6/G7","G6","Heterosexual / straight","195","195","65150","64780"
"In post","2022","20-29","G6/G7","G6","LGBO","40","40","65430","65180"
"In post","2022","20-29","G6/G7","G6","Undeclared","35","35","65130","66230"
"In post","2022","20-29","G6/G7","G6","Unknown","85","85","66050","64650"
"In post","2022","20-29","G6/G7","G7","Heterosexual / straight","2900","2890","53990","53380"
"In post","2022","20-29","G6/G7","G7","LGBO","490","485","54000","53380"
"In post","2022","20-29","G6/G7","G7","Undeclared","390","385","54100","53380"
"In post","2022","20-29","G6/G7","G7","Unknown","900","900","54710","54270"
"In post","2022","20-29","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","SEO/HEO","HEO","Heterosexual / straight","10640","10580","32970","33080"
"In post","2022","20-29","SEO/HEO","HEO","LGBO","1465","1455","32890","33080"
