"Status","Year","Age","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","25","25","22160","21250"
"In post","2022","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","5","5","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","10","10","20830","20890"
"In post","2022","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Lincolnshire","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedfordshire and Hertfordshire","Hertfordshire CC","5","5","[c]","[c]"
"In post","2022","16-19","East of England","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","East Anglia","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2022","16-19","East of England","East Anglia","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2022","16-19","East of England","East Anglia","Peterborough","5","5","[c]","[c]"
"In post","2022","16-19","East of England","East Anglia","Suffolk CC","10","10","22380","21470"
"In post","2022","16-19","East of England","Essex","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Essex","Heart of Essex","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Essex","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Inner London - East","Hackney and Newham","10","10","[c]","[c]"
"In post","2022","16-19","London","Inner London - East","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Inner London - East","Tower Hamlets","10","10","[c]","[c]"
"In post","2022","16-19","London","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Inner London - West","Westminster","85","85","25330","25170"
"In post","2022","16-19","London","Outer London - East and North East","Bexley and Greenwich","5","5","[c]","[c]"
"In post","2022","16-19","London","Outer London - East and North East","Enfield","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Outer London - East and North East","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Outer London - South","Croydon","10","10","26020","25330"
"In post","2022","16-19","London","Outer London - West and North West","Barnet","5","5","[c]","[c]"
"In post","2022","16-19","London","Outer London - West and North West","Brent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Outer London - West and North West","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Northumberland, and Tyne and Wear","Sunderland","10","10","21250","21250"
"In post","2022","16-19","North East (England)","Northumberland, and Tyne and Wear","Tyneside","50","50","21780","21250"
"In post","2022","16-19","North East (England)","Tees Valley and Durham","Durham","15","15","22960","23140"
"In post","2022","16-19","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester","Greater Manchester South East","5","5","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester","Greater Manchester South West","20","20","22540","21250"
"In post","2022","16-19","North West (England)","Greater Manchester","Manchester","30","30","22830","22280"
"In post","2022","16-19","North West (England)","Lancashire","Blackpool","10","10","23550","21260"
"In post","2022","16-19","North West (England)","Lancashire","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Lancashire","Mid Lancashire","15","15","20970","21260"
"In post","2022","16-19","North West (England)","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Merseyside","Liverpool","45","45","21880","21250"
"In post","2022","16-19","North West (England)","Merseyside","Sefton","5","5","[c]","[c]"
"In post","2022","16-19","North West (England)","Merseyside","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Northern Ireland","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Northern Ireland","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Eastern Scotland","Angus and Dundee City","5","5","[c]","[c]"
"In post","2022","16-19","Scotland","Eastern Scotland","City of Edinburgh","45","40","22470","21250"
"In post","2022","16-19","Scotland","Eastern Scotland","Clackmannanshire and Fife","5","5","[c]","[c]"
"In post","2022","16-19","Scotland","Eastern Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Eastern Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Eastern Scotland","West Lothian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Highlands and Islands","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Southern Scotland","East Ayrshire and North Ayrshire mainland","10","10","18770","18030"
"In post","2022","16-19","Scotland","Southern Scotland","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Southern Scotland","South Lanarkshire","10","10","21300","21250"
"In post","2022","16-19","Scotland","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","West Central Scotland","Glasgow City","30","30","21260","21050"
"In post","2022","16-19","Scotland","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","West Central Scotland","North Lanarkshire","10","10","21780","21250"
"In post","2022","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","30","30","20460","19110"
"In post","2022","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","Hampshire and Isle of Wight","Central Hampshire","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","Hampshire and Isle of Wight","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Hampshire and Isle of Wight","Portsmouth","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","Hampshire and Isle of Wight","South Hampshire","20","15","20080","19860"
"In post","2022","16-19","South East (England)","Hampshire and Isle of Wight","Southampton","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Kent","East Kent","20","20","22720","21680"
"In post","2022","16-19","South East (England)","Kent","Kent Thames Gateway","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","Kent","Medway","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","Surrey, East and West Sussex","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Surrey, East and West Sussex","East Surrey","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Surrey, East and West Sussex","East Sussex CC","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","Surrey, East and West Sussex","West Surrey","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Devon","Devon CC","10","10","[c]","[c]"
"In post","2022","16-19","South West (England)","Devon","Plymouth","20","20","19310","18700"
"In post","2022","16-19","South West (England)","Dorset and Somerset","Dorset","5","5","[c]","[c]"
"In post","2022","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","100","100","18700","18030"
"In post","2022","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","15","15","21320","21200"
"In post","2022","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","25","25","20650","21170"
"In post","2022","16-19","Unknown","Unknown","Unknown","35","35","18030","16720"
"In post","2022","16-19","Wales","East Wales","Cardiff and Vale of Glamorgan","25","25","22250","21250"
"In post","2022","16-19","Wales","East Wales","Flintshire and Wrexham","15","15","18060","17450"
"In post","2022","16-19","Wales","East Wales","Monmouthshire and Newport","15","15","21600","21350"
"In post","2022","16-19","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Wales","West Wales and The Valleys","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Wales","West Wales and The Valleys","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Wales","West Wales and The Valleys","South West Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Wales","West Wales and The Valleys","Swansea","80","65","19300","18310"
"In post","2022","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","10","10","21680","22490"
"In post","2022","16-19","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","West Midlands","Birmingham","35","35","22340","21260"
"In post","2022","16-19","West Midlands (England)","West Midlands","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","West Midlands","Dudley","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","West Midlands","Solihull","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","West Midlands","Wolverhampton","5","5","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","5","5","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","North Yorkshire","York","5","5","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","South Yorkshire","Barnsley, Doncaster and Rotherham","10","10","21920","21080"
"In post","2022","16-19","Yorkshire and The Humber","South Yorkshire","Sheffield","10","10","22600","21680"
"In post","2022","16-19","Yorkshire and The Humber","West Yorkshire","Bradford","20","20","21570","21250"
"In post","2022","16-19","Yorkshire and The Humber","West Yorkshire","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","West Yorkshire","Leeds","45","45","22280","21260"
"In post","2022","16-19","Yorkshire and The Humber","West Yorkshire","Wakefield","[c]","[c]","[c]","[c]"
"In post","2022","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","140","140","25140","24240"
"In post","2022","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","30","30","25360","24800"
"In post","2022","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","170","165","25170","25610"
"In post","2022","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","1595","1565","27610","26590"
"In post","2022","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","130","130","25770","25700"
"In post","2022","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","145","140","26380","25660"
"In post","2022","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","395","385","24220","22600"
"In post","2022","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","310","305","24470","24260"
"In post","2022","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","85","80","23900","21260"
"In post","2022","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","185","180","24430","24260"
"In post","2022","20-29","East Midlands (England)","Lincolnshire","Lincolnshire CC","315","310","25190","24920"
"In post","2022","20-29","East of England","Bedfordshire and Hertfordshire","Bedford","160","155","27090","28140"
"In post","2022","20-29","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","40","40","26930","27570"
"In post","2022","20-29","East of England","Bedfordshire and Hertfordshire","Hertfordshire CC","405","400","29830","29290"
"In post","2022","20-29","East of England","Bedfordshire and Hertfordshire","Luton","95","90","25130","24880"
"In post","2022","20-29","East of England","East Anglia","Breckland and South Norfolk","90","90","24670","24520"
"In post","2022","20-29","East of England","East Anglia","Cambridgeshire CC","475","465","27470","26670"
