"Status","Year","Disability","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","London","Female","280","255","50040","52040"
"In post","2022","Declared disabled","Legal","London","Male","170","165","51610","51830"
"In post","2022","Declared disabled","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Outside London","Female","515","455","39180","33370"
"In post","2022","Declared disabled","Legal","Outside London","Male","255","245","43440","42090"
"In post","2022","Declared disabled","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","London","Female","3250","3060","38120","32790"
"In post","2022","Declared disabled","No function","London","Male","2025","1970","40900","35440"
"In post","2022","Declared disabled","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","Outside London","Female","17555","15285","27670","27570"
"In post","2022","Declared disabled","No function","Outside London","Male","9915","9305","28910","27570"
"In post","2022","Declared disabled","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","Overseas","Female","50","50","47340","41050"
"In post","2022","Declared disabled","No function","Overseas","Male","85","85","50070","52970"
"In post","2022","Declared disabled","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","Unknown","Female","60","55","28730","27570"
"In post","2022","Declared disabled","No function","Unknown","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","London","Female","245","230","47700","42730"
"In post","2022","Declared disabled","Project Delivery","London","Male","180","175","49600","44990"
"In post","2022","Declared disabled","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Outside London","Female","1090","1015","36590","33380"
"In post","2022","Declared disabled","Project Delivery","Outside London","Male","1045","1015","38630","37370"
"In post","2022","Declared disabled","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Overseas","Female","30","30","55990","55340"
"In post","2022","Declared disabled","Project Delivery","Overseas","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","London","Female","65","65","46330","39640"
"In post","2022","Declared disabled","Property","London","Male","80","75","43500","39530"
"In post","2022","Declared disabled","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Outside London","Female","310","290","34370","32720"
"In post","2022","Declared disabled","Property","Outside London","Male","310","300","35120","33300"
"In post","2022","Declared disabled","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Overseas","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","London","Female","75","75","39980","37640"
"In post","2022","Declared disabled","Security","London","Male","115","110","42700","40600"
"In post","2022","Declared disabled","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Outside London","Female","200","190","29500","27570"
"In post","2022","Declared disabled","Security","Outside London","Male","455","440","31180","29890"
"In post","2022","Declared disabled","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Overseas","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","London","Female","820","760","38890","35070"
"In post","2022","Declared disabled","Unknown","London","Male","630","610","41270","35200"
"In post","2022","Declared disabled","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Outside London","Female","2800","2580","31690","27230"
"In post","2022","Declared disabled","Unknown","Outside London","Male","2290","2210","32010","27370"
"In post","2022","Declared disabled","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Male","10","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","London","Female","1125","1070","49460","45540"
"In post","2022","Declared non-disabled","Analysis","London","Male","1380","1365","51620","49060"
"In post","2022","Declared non-disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Outside London","Female","1500","1390","38280","36580"
"In post","2022","Declared non-disabled","Analysis","Outside London","Male","1665","1630","40280","38070"
"In post","2022","Declared non-disabled","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","London","Female","380","375","50530","42920"
"In post","2022","Declared non-disabled","Commercial","London","Male","425","420","62450","53860"
"In post","2022","Declared non-disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Outside London","Female","1430","1350","38190","36050"
"In post","2022","Declared non-disabled","Commercial","Outside London","Male","1210","1195","41160","38330"
"In post","2022","Declared non-disabled","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Overseas","Male","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Unknown","Female","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","London","Female","825","795","48020","44620"
"In post","2022","Declared non-disabled","Communications","London","Male","565","565","49260","43430"
"In post","2022","Declared non-disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Outside London","Female","1930","1810","32550","30020"
"In post","2022","Declared non-disabled","Communications","Outside London","Male","1680","1655","31700","26930"
"In post","2022","Declared non-disabled","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","London","Female","1225","1115","35330","31880"
"In post","2022","Declared non-disabled","Counter Fraud","London","Male","1170","1140","39810","37610"
"In post","2022","Declared non-disabled","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","Outside London","Female","4915","4360","30060","27570"
"In post","2022","Declared non-disabled","Counter Fraud","Outside London","Male","4045","3870","32600","28920"
"In post","2022","Declared non-disabled","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","London","Female","170","145","28550","26400"
"In post","2022","Declared non-disabled","Debt","London","Male","110","100","30310","26400"
"In post","2022","Declared non-disabled","Debt","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","Outside London","Female","2480","2080","23500","21260"
"In post","2022","Declared non-disabled","Debt","Outside London","Male","1440","1375","23700","21260"
"In post","2022","Declared non-disabled","Debt","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","Unknown","Female","45","35","25390","25110"
"In post","2022","Declared non-disabled","Debt","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","London","Female","1085","1050","47860","43870"
"In post","2022","Declared non-disabled","Digital, Data & Technology","London","Male","1565","1550","50570","51610"
"In post","2022","Declared non-disabled","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Outside London","Female","4455","4200","38420","35310"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Outside London","Male","7465","7320","41080","38230"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Overseas","Female","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Overseas","Male","35","35","32680","33300"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","Female","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","Male","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","London","Female","980","935","46930","42090"
"In post","2022","Declared non-disabled","Finance","London","Male","1025","1020","50860","46710"
"In post","2022","Declared non-disabled","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Outside London","Female","3735","3410","35570","33000"
"In post","2022","Declared non-disabled","Finance","Outside London","Male","2675","2610","39580","35980"
"In post","2022","Declared non-disabled","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Overseas","Female","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Overseas","Male","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","Outside London","Female","1220","1075","24760","21300"
"In post","2022","Declared non-disabled","Grants Management","Outside London","Male","870","850","25480","21300"
"In post","2022","Declared non-disabled","Grants Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","London","Female","1290","1240","46620","41820"
"In post","2022","Declared non-disabled","Human Resources","London","Male","615","605","48410","43830"
"In post","2022","Declared non-disabled","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Outside London","Female","4135","3820","34950","31990"
"In post","2022","Declared non-disabled","Human Resources","Outside London","Male","1765","1720","35970","32470"
"In post","2022","Declared non-disabled","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Overseas","Female","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Overseas","Male","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Unknown","Female","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","London","Female","80","75","51290","46110"
"In post","2022","Declared non-disabled","Internal Audit","London","Male","85","80","51410","49750"
"In post","2022","Declared non-disabled","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Outside London","Female","225","205","42340","40550"
"In post","2022","Declared non-disabled","Internal Audit","Outside London","Male","175","170","46840","43710"
"In post","2022","Declared non-disabled","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","London","Female","2280","2095","52110","51940"
"In post","2022","Declared non-disabled","Legal","London","Male","1295","1270","55190","55360"
"In post","2022","Declared non-disabled","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Outside London","Female","3230","2910","42190","40520"
"In post","2022","Declared non-disabled","Legal","Outside London","Male","1685","1630","46450","48830"
"In post","2022","Declared non-disabled","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","No function","London","Female","18845","17810","40930","34550"
"In post","2022","Declared non-disabled","No function","London","Male","14465","14220","44300","38290"
"In post","2022","Declared non-disabled","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","No function","Outside London","Female","85320","75450","28600","27570"
"In post","2022","Declared non-disabled","No function","Outside London","Male","57255","55050","31040","27570"
"In post","2022","Declared non-disabled","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","No function","Overseas","Female","510","510","50720","50400"
"In post","2022","Declared non-disabled","No function","Overseas","Male","765","765","54000","54470"
"In post","2022","Declared non-disabled","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","No function","Unknown","Female","265","245","30630","27570"
"In post","2022","Declared non-disabled","No function","Unknown","Male","180","175","32100","27570"
"In post","2022","Declared non-disabled","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","London","Female","1490","1415","52260","51500"
"In post","2022","Declared non-disabled","Project Delivery","London","Male","1265","1240","57040","54950"
"In post","2022","Declared non-disabled","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Outside London","Female","6645","6200","38250","35310"
"In post","2022","Declared non-disabled","Project Delivery","Outside London","Male","8980","8810","41130","39980"
"In post","2022","Declared non-disabled","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Overseas","Female","155","155","56670","55990"
"In post","2022","Declared non-disabled","Project Delivery","Overseas","Male","195","195","54510","55060"
"In post","2022","Declared non-disabled","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Unknown","Female","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","London","Female","495","465","40980","36000"
"In post","2022","Declared non-disabled","Property","London","Male","645","630","45790","41500"
"In post","2022","Declared non-disabled","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Outside London","Female","2245","2090","34280","31990"
"In post","2022","Declared non-disabled","Property","Outside London","Male","2725","2645","38260","34000"
"In post","2022","Declared non-disabled","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Property","Overseas","Female","15","15","[c]","[c]"
