"Status","Year","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","35","35","24570","23970"
"In post","2022","16-19","Commercial","5","5","[c]","[c]"
"In post","2022","16-19","Communications","25","25","24830","24490"
"In post","2022","16-19","Counter Fraud","20","20","24140","24680"
"In post","2022","16-19","Debt","50","45","21380","21250"
"In post","2022","16-19","Digital, Data & Technology","30","30","21940","21290"
"In post","2022","16-19","Finance","35","30","20830","21250"
"In post","2022","16-19","Grants Management","10","10","21070","21300"
"In post","2022","16-19","Human Resources","20","20","22430","21200"
"In post","2022","16-19","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","35","35","21990","22200"
"In post","2022","16-19","No function","680","650","22010","21260"
"In post","2022","16-19","Project Delivery","115","115","18580","18030"
"In post","2022","16-19","Property","35","35","22620","24080"
"In post","2022","16-19","Security","20","20","22490","23240"
"In post","2022","16-19","Unknown","165","160","21710","21260"
"In post","2022","20-29","Analysis","3005","2990","35970","33710"
"In post","2022","20-29","Commercial","1100","1090","35100","33000"
"In post","2022","20-29","Communications","2225","2210","31070","26820"
"In post","2022","20-29","Counter Fraud","2030","2015","29380","27570"
"In post","2022","20-29","Debt","1290","1245","22260","21250"
"In post","2022","20-29","Digital, Data & Technology","3230","3215","33680","32730"
"In post","2022","20-29","Finance","1760","1735","32550","30270"
"In post","2022","20-29","Grants Management","380","370","22440","21300"
"In post","2022","20-29","Human Resources","1665","1650","31080","28350"
"In post","2022","20-29","Internal Audit","55","55","33610","33420"
"In post","2022","20-29","Legal","1700","1685","31830","26970"
"In post","2022","20-29","No function","48970","48200","28910","27570"
"In post","2022","20-29","Project Delivery","3780","3755","31570","30450"
"In post","2022","20-29","Property","1125","1110","29130","26670"
"In post","2022","20-29","Security","1520","1520","28550","26750"
"In post","2022","20-29","Unknown","10730","10580","29680","27230"
"In post","2022","30-39","Analysis","2350","2260","45920","42670"
"In post","2022","30-39","Commercial","1625","1580","44420","40040"
"In post","2022","30-39","Communications","2705","2620","36490","33290"
"In post","2022","30-39","Counter Fraud","3165","3055","32780","31020"
"In post","2022","30-39","Debt","1300","1175","23150","21260"
"In post","2022","30-39","Digital, Data & Technology","5265","5160","41640","39160"
"In post","2022","30-39","Finance","2505","2405","40270","36740"
"In post","2022","30-39","Grants Management","440","405","24130","21300"
"In post","2022","30-39","Human Resources","2635","2515","36990","33300"
"In post","2022","30-39","Internal Audit","125","120","43380","40580"
"In post","2022","30-39","Legal","2885","2745","47350","50500"
"In post","2022","30-39","No function","59375","56150","32780","28550"
"In post","2022","30-39","Project Delivery","6030","5845","41300","39950"
"In post","2022","30-39","Property","1545","1495","36080","33300"
"In post","2022","30-39","Security","2075","2055","34080","33300"
"In post","2022","30-39","Unknown","17505","16715","34980","30820"
"In post","2022","40-49","Analysis","1665","1555","50100","48140"
"In post","2022","40-49","Commercial","1725","1675","52710","48880"
"In post","2022","40-49","Communications","1900","1820","40060","33370"
"In post","2022","40-49","Counter Fraud","3775","3550","33360","31060"
"In post","2022","40-49","Debt","1305","1145","23960","21260"
"In post","2022","40-49","Digital, Data & Technology","5970","5825","44660","40580"
"In post","2022","40-49","Finance","3160","3020","42420","38060"
"In post","2022","40-49","Grants Management","690","620","25680","21300"
"In post","2022","40-49","Human Resources","2940","2785","40680","36650"
"In post","2022","40-49","Internal Audit","190","180","47620","44020"
"In post","2022","40-49","Legal","3370","3080","50890","53050"
"In post","2022","40-49","No function","59840","55490","33930","28200"
"In post","2022","40-49","Project Delivery","6270","6040","45710","41240"
"In post","2022","40-49","Property","2100","2025","38890","35110"
"In post","2022","40-49","Security","2185","2145","35620","34550"
"In post","2022","40-49","Unknown","19410","18415","37850","31990"
"In post","2022","50-59","Analysis","1090","1040","49760","47010"
"In post","2022","50-59","Commercial","1730","1695","53110","45560"
"In post","2022","50-59","Communications","1345","1290","38010","33370"
"In post","2022","50-59","Counter Fraud","5820","5460","33400","31020"
"In post","2022","50-59","Debt","1925","1710","24830","22080"
"In post","2022","50-59","Digital, Data & Technology","5940","5795","42820","39670"
"In post","2022","50-59","Finance","3810","3620","40460","36500"
"In post","2022","50-59","Grants Management","565","525","27390","24920"
"In post","2022","50-59","Human Resources","3450","3310","39700","35310"
"In post","2022","50-59","Internal Audit","315","305","49410","45570"
"In post","2022","50-59","Legal","3455","3225","49470","52220"
"In post","2022","50-59","No function","75675","69945","32440","27570"
"In post","2022","50-59","Project Delivery","7860","7625","45510","41080"
"In post","2022","50-59","Property","3290","3190","39060","34000"
"In post","2022","50-59","Security","3635","3580","33660","33300"
"In post","2022","50-59","Unknown","23120","22110","35960","30780"
"In post","2022","60-64","Analysis","235","205","44570","40060"
"In post","2022","60-64","Commercial","345","315","47610","42080"
"In post","2022","60-64","Communications","270","240","36030","31480"
"In post","2022","60-64","Counter Fraud","1680","1280","31700","27570"
"In post","2022","60-64","Debt","715","555","24410","22080"
"In post","2022","60-64","Digital, Data & Technology","1260","1115","39860","36410"
"In post","2022","60-64","Finance","870","735","36480","33370"
"In post","2022","60-64","Grants Management","175","145","25330","21300"
"In post","2022","60-64","Human Resources","825","685","35710","31990"
"In post","2022","60-64","Internal Audit","70","60","44360","43570"
"In post","2022","60-64","Legal","730","620","47660","51470"
"In post","2022","60-64","No function","22945","18415","29870","27570"
"In post","2022","60-64","Project Delivery","1950","1700","42240","40070"
"In post","2022","60-64","Property","1065","960","36050","33300"
"In post","2022","60-64","Security","955","860","29570","25000"
"In post","2022","60-64","Unknown","6470","5730","32800","27760"
"In post","2022","65+","Analysis","75","60","47120","40520"
"In post","2022","65+","Commercial","80","70","41830","37960"
"In post","2022","65+","Communications","70","60","34920","29200"
"In post","2022","65+","Counter Fraud","525","365","30660","27570"
"In post","2022","65+","Debt","235","165","24870","22080"
"In post","2022","65+","Digital, Data & Technology","360","300","37700","34200"
"In post","2022","65+","Finance","230","190","33980","29730"
"In post","2022","65+","Grants Management","65","50","24520","21300"
"In post","2022","65+","Human Resources","185","140","33180","28920"
"In post","2022","65+","Internal Audit","15","10","40040","37640"
"In post","2022","65+","Legal","230","175","48950","55610"
"In post","2022","65+","No function","7020","5195","29380","26780"
"In post","2022","65+","Project Delivery","555","445","40970","38550"
"In post","2022","65+","Property","380","325","32670","28920"
"In post","2022","65+","Security","300","255","28980","25000"
"In post","2022","65+","Unknown","2260","1885","31130","26670"
