"Status","Year","Function_of_post","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","30","30","21220","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","105","100","25290","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","85","80","52190","49040"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","245","235","33160","30660"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","20","20","38780","36240"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","G6/G7","85","80","64210","60210"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","SCS level","15","15","107070","97750"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","35","35","37830","34870"
"In post","2022","Analysis","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","210","195","50550","47050"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","290","280","34960","38070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","35","35","27910","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","65","60","61670","57850"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","140","135","36890","35640"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","75","75","57700","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","60","60","37770","38020"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","EO","15","15","26930","25000"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","G6/G7","75","70","54760","53420"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","SEO/HEO","105","100","38700","40230"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","G6/G7","110","110","55890","51970"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","SEO/HEO","105","105","33560","31800"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","EO","25","25","28330","27850"
