"Status","Year","Disability","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Bedford","AA/AO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Bedford","EO","35","30","27690","27570"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","AA/AO","70","60","24470","23720"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","140","125","30060","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","G6/G7","25","25","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO/HEO","50","50","39520","37980"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","35","30","30500","28200"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Luton","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Luton","EO","40","40","27400","27570"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Luton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Luton","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Luton","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AA/AO","95","85","26870","25110"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","100","90","30320","29290"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6/G7","30","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","65","65","37800","38040"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","45","45","29460","25900"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","AA/AO","60","55","25290","23380"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","EO","65","60","28450","27570"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SEO/HEO","45","45","37920","35300"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","AA/AO","75","75","25080","25000"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","EO","70","65","28690","27570"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SEO/HEO","55","50","37980","36490"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","AA/AO","90","85","24770","21960"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","EO","60","55","28470","27570"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SEO/HEO","80","75","37090","34270"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Unknown","35","35","34980","30810"
"In post","2022","Declared disabled","Cheshire","Cheshire East","AA/AO","30","30","23040","21300"
"In post","2022","Declared disabled","Cheshire","Cheshire East","EO","50","45","27660","27570"
"In post","2022","Declared disabled","Cheshire","Cheshire East","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","Cheshire East","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","Cheshire East","SEO/HEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","Cheshire East","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","Cheshire West and Chester","AA/AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","Cheshire West and Chester","EO","50","45","27240","27570"
"In post","2022","Declared disabled","Cheshire","Cheshire West and Chester","G6/G7","[c]","[c]","[c]","[c]"
