"Status","Year","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AA/AO","290","275","26180","28140"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","EO","280","255","27630","27570"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G6/G7","30","30","60080","54380"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SCS level","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","150","145","38490","37400"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","Unknown","105","95","28480","25480"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","125","120","21050","21170"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","130","125","28050","27110"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","25","25","63620","64380"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","160","155","37320","36300"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","AA/AO","660","620","25610","24250"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","900","845","29970","29290"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","G6/G7","345","330","61320","59730"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","35","35","90910","89160"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO/HEO","680","655","39600","38510"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","220","205","30560","28200"
"In post","2022","Bedfordshire and Hertfordshire","Luton","AA/AO","110","95","21030","21220"
"In post","2022","Bedfordshire and Hertfordshire","Luton","EO","305","275","27970","27570"
"In post","2022","Bedfordshire and Hertfordshire","Luton","G6/G7","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Luton","SEO/HEO","50","50","34610","32590"
"In post","2022","Bedfordshire and Hertfordshire","Luton","Unknown","85","75","28390","25190"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AA/AO","975","930","27800","25540"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","765","725","31040","29290"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6/G7","265","250","58640","55860"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS level","15","15","94800","86610"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","670","640","38820","38200"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","235","230","29160","25190"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","AA/AO","535","505","25420","23380"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","EO","485","460","28850","28350"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","G6/G7","105","105","62960","58500"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SCS level","10","10","91820","87800"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SEO/HEO","485","460","38770","37280"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Unknown","70","65","30670","31980"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","AA/AO","795","765","25380","24490"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","EO","545","515","28590","27570"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","G6/G7","180","160","61490","57760"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SCS level","10","10","111200","110000"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SEO/HEO","565","540","39430","38200"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","150","145","25680","24080"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","AA/AO","965","900","24920","21830"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","EO","530","500","28690","27570"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G6/G7","235","220","60430","57260"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SCS level","25","25","99420","98030"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SEO/HEO","715","685","37290","36700"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Unknown","200","175","30590","27540"
"In post","2022","Cheshire","Cheshire East","AA/AO","495","455","22870","21300"
"In post","2022","Cheshire","Cheshire East","EO","285","265","27380","27570"
"In post","2022","Cheshire","Cheshire East","G6/G7","90","85","58180","55610"
"In post","2022","Cheshire","Cheshire East","SCS level","10","10","[c]","[c]"
"In post","2022","Cheshire","Cheshire East","SEO/HEO","260","245","36850","34360"
"In post","2022","Cheshire","Cheshire East","Unknown","95","85","28940","26410"
"In post","2022","Cheshire","Cheshire West and Chester","AA/AO","130","120","21100","21260"
"In post","2022","Cheshire","Cheshire West and Chester","EO","180","165","27170","27570"
"In post","2022","Cheshire","Cheshire West and Chester","G6/G7","20","20","60390","61440"
"In post","2022","Cheshire","Cheshire West and Chester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Cheshire West and Chester","SEO/HEO","50","45","36490","35170"
"In post","2022","Cheshire","Cheshire West and Chester","Unknown","130","120","28880","26310"
"In post","2022","Cheshire","Warrington","AA/AO","730","655","23780","21860"
"In post","2022","Cheshire","Warrington","EO","905","870","31040","30640"
"In post","2022","Cheshire","Warrington","G6/G7","185","180","56880","55740"
"In post","2022","Cheshire","Warrington","SCS level","5","5","[c]","[c]"
"In post","2022","Cheshire","Warrington","SEO/HEO","755","735","39730","38540"
"In post","2022","Cheshire","Warrington","Unknown","65","60","29440","29240"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AA/AO","720","655","21200","21260"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","590","540","27320","27570"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G6/G7","85","80","58730","55610"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","275","260","35550","33820"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Unknown","95","85","29380","26310"
"In post","2022","Cumbria","East Cumbria","AA/AO","345","315","21830","21300"
"In post","2022","Cumbria","East Cumbria","EO","315","290","25580","25640"
"In post","2022","Cumbria","East Cumbria","G6/G7","70","65","55360","52430"
"In post","2022","Cumbria","East Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","East Cumbria","SEO/HEO","190","180","34530","32710"
"In post","2022","Cumbria","East Cumbria","Unknown","90","80","30200","28200"
"In post","2022","Cumbria","West Cumbria","AA/AO","605","540","22540","21300"
"In post","2022","Cumbria","West Cumbria","EO","285","255","27080","26720"
"In post","2022","Cumbria","West Cumbria","G6/G7","40","35","56970","52230"
"In post","2022","Cumbria","West Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","West Cumbria","SEO/HEO","150","145","34730","33300"
"In post","2022","Cumbria","West Cumbria","Unknown","220","210","39440","37170"
"In post","2022","Derbyshire and Nottinghamshire","Derby","AA/AO","505","435","22070","21260"
"In post","2022","Derbyshire and Nottinghamshire","Derby","EO","290","265","27710","27570"
"In post","2022","Derbyshire and Nottinghamshire","Derby","G6/G7","30","30","69330","74490"
"In post","2022","Derbyshire and Nottinghamshire","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Derby","SEO/HEO","60","55","36200","34290"
"In post","2022","Derbyshire and Nottinghamshire","Derby","Unknown","235","210","29660","28200"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","AA/AO","110","90","20820","21260"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","EO","175","155","27320","27570"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","G6/G7","20","20","57930","52070"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","SEO/HEO","40","35","35120","34290"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","Unknown","75","70","29170","28200"
"In post","2022","Derbyshire and Nottinghamshire","North Nottinghamshire","AA/AO","420","395","24290","23140"
"In post","2022","Derbyshire and Nottinghamshire","North Nottinghamshire","EO","330","300","27830","27570"
