"Status","Year","Age","Parent_department","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East of England","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North West (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","LGBO","[c]","[c]","[c]","[c]"
