"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Camden and City of London","30","25","[c]","[c]"
"In post","2022","Asian","Analysis","London","Croydon","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","London","Hackney and Newham","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Tower Hamlets","95","95","45890","42290"
"In post","2022","Asian","Analysis","London","Westminster","285","280","45140","41250"
