"Status","Year","Age","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","10","10","[c]","[c]"
"In post","2022","16-19","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","10","10","23410","21250"
"In post","2022","16-19","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","15","15","24050","21250"
"In post","2022","16-19","Debt","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","40","40","21250","21250"
"In post","2022","16-19","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs","10","10","21250","21250"
"In post","2022","16-19","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Ministry of Defence","15","15","19730","19460"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","10","10","21070","21300"
"In post","2022","16-19","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","35","35","21890","22200"
"In post","2022","16-19","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","10","10","21500","21130"
"In post","2022","16-19","No function","Department for Education","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","25","25","23440","24370"
"In post","2022","16-19","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","90","75","19790","18310"
"In post","2022","16-19","No function","Department for Work and Pensions","115","115","23050","21260"
"In post","2022","16-19","No function","Department of Health and Social Care","20","15","21450","22350"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","115","110","21480","21250"
"In post","2022","16-19","No function","HM Treasury","5","5","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Defence","25","25","18030","17450"
"In post","2022","16-19","No function","Ministry of Justice","195","195","22970","23140"
"In post","2022","16-19","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Government","25","25","21570","21050"
"In post","2022","16-19","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","15","10","19490","19860"
"In post","2022","16-19","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
