"Status","Year","Disability","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","London","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","SEO/HEO","55","50","40960","40650"
"In post","2022","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outside London","AA/AO","35","30","23100","21260"
"In post","2022","Declared disabled","Commercial","Outside London","EO","85","75","26270","26350"
"In post","2022","Declared disabled","Commercial","Outside London","G6/G7","65","60","57230","54490"
"In post","2022","Declared disabled","Commercial","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outside London","SEO/HEO","290","275","37080","36900"
"In post","2022","Declared disabled","Commercial","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","G6/G7","30","30","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","SEO/HEO","70","70","39210","38840"
"In post","2022","Declared disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Outside London","AA/AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Outside London","EO","45","45","27180","26670"
"In post","2022","Declared disabled","Communications","Outside London","G6/G7","35","35","55140","53720"
"In post","2022","Declared disabled","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Outside London","SEO/HEO","85","85","36110","36360"
"In post","2022","Declared disabled","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","London","AA/AO","55","45","24340","25110"
"In post","2022","Declared disabled","Counter Fraud","London","EO","60","55","31370","31810"
"In post","2022","Declared disabled","Counter Fraud","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","London","SEO/HEO","30","30","38890","38450"
"In post","2022","Declared disabled","Counter Fraud","Outside London","AA/AO","185","155","21920","21260"
"In post","2022","Declared disabled","Counter Fraud","Outside London","EO","515","455","27780","27570"
"In post","2022","Declared disabled","Counter Fraud","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Outside London","SEO/HEO","135","125","34130","32470"
"In post","2022","Declared disabled","Counter Fraud","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","London","EO","45","45","30210","30100"
"In post","2022","Declared disabled","Digital, Data and Technology","London","G6/G7","115","110","62630","60920"
"In post","2022","Declared disabled","Digital, Data and Technology","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","London","SEO/HEO","125","125","39710","39780"
"In post","2022","Declared disabled","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Outside London","AA/AO","55","55","21120","21260"
"In post","2022","Declared disabled","Digital, Data and Technology","Outside London","EO","345","325","27160","26900"
"In post","2022","Declared disabled","Digital, Data and Technology","Outside London","G6/G7","290","285","56260","54540"
"In post","2022","Declared disabled","Digital, Data and Technology","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Outside London","SEO/HEO","720","690","36820","36190"
"In post","2022","Declared disabled","Digital, Data and Technology","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","London","G6/G7","40","40","61470","60110"
"In post","2022","Declared disabled","Economics","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","London","SEO/HEO","40","40","36080","35640"
"In post","2022","Declared disabled","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Economics","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","London","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","London","EO","35","35","29460","30020"
"In post","2022","Declared disabled","Finance","London","G6/G7","75","70","60690","59730"
"In post","2022","Declared disabled","Finance","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","London","SEO/HEO","95","95","40640","40940"
"In post","2022","Declared disabled","Finance","Outside London","AA/AO","100","85","21690","21320"
"In post","2022","Declared disabled","Finance","Outside London","EO","210","200","26450","26670"
"In post","2022","Declared disabled","Finance","Outside London","G6/G7","140","135","56160","54540"
"In post","2022","Declared disabled","Finance","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","Outside London","SEO/HEO","410","385","35990","35300"
"In post","2022","Declared disabled","Finance","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Geography","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","Outside London","G6/G7","[c]","[c]","[c]","[c]"
