"Status","Year","Disability","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Animal and Plant Health Agency","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office (excl. agencies)","London","55","55","43930","40600"
"In post","2022","Declared disabled","Asian","Cabinet Office (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Crown Prosecution Service","London","30","25","43800","31560"
"In post","2022","Declared disabled","Asian","Crown Prosecution Service","Outside London","40","35","37150","34480"
"In post","2022","Declared disabled","Asian","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Defence Equipment and Support","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","55","50","47740","40220"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education (excl. agencies)","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education (excl. agencies)","Outside London","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","30","30","35980","32560"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","London","30","30","42600","36970"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport (excl. agencies)","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions (excl. agencies)","London","345","310","31090","31060"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions (excl. agencies)","Outside London","690","615","26220","27570"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care (excl. agencies)","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Driver and Vehicle Licensing Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Driver and Vehicle Standards Agency","Outside London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Education and Skills Funding Agency","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Education and Skills Funding Agency","Outside London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Education and Skills Funding Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","London","30","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Legal Department","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Legal Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Property Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Property Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Courts and Tribunals Service","London","70","65","30070","24310"
"In post","2022","Declared disabled","Asian","HM Courts and Tribunals Service","Outside London","95","80","24490","20970"
"In post","2022","Declared disabled","Asian","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Prison and Probation Service","London","70","70","32520","30110"
"In post","2022","Declared disabled","Asian","HM Prison and Probation Service","Outside London","145","140","30780","28590"
"In post","2022","Declared disabled","Asian","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs (excl. agencies)","London","125","115","40130","37930"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs (excl. agencies)","Outside London","270","255","30470","26820"
"In post","2022","Declared disabled","Asian","HM Treasury (excl. agencies)","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Home Office","London","275","245","34950","29950"
"In post","2022","Declared disabled","Asian","Home Office","Outside London","95","90","25710","25040"
"In post","2022","Declared disabled","Asian","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Maritime and Coastguard Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Medicines and Healthcare Products Regulatory Agency","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Medicines and Healthcare Products Regulatory Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence (excl. agencies)","London","30","30","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence (excl. agencies)","Outside London","35","35","36520","33000"
"In post","2022","Declared disabled","Asian","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Justice (excl. agencies)","London","40","40","44340","41750"
"In post","2022","Declared disabled","Asian","Ministry of Justice (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
