"Status","Year","Ethnicity","Parent_department","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","Heterosexual / straight","50","45","35760","28430"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","Heterosexual / straight","35","35","44310","48080"
"In post","2022","Asian","Attorney General's Departments","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","Heterosexual / straight","575","540","44330","50500"
"In post","2022","Asian","Attorney General's Departments","London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","Unknown","65","55","44890","40000"
"In post","2022","Asian","Attorney General's Departments","North East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Heterosexual / straight","40","35","40880","48080"
"In post","2022","Asian","Attorney General's Departments","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","Heterosexual / straight","30","25","42300","40000"
"In post","2022","Asian","Attorney General's Departments","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","Unknown","[c]","[c]","[c]","[c]"
