"Status","Year","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AA","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AA","Unknown","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AO","Heterosexual / straight","160","150","26910","28140"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AO","Undeclared","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","AO","Unknown","55","50","27210","28140"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","EO","Heterosexual / straight","195","180","27650","27570"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","EO","Undeclared","30","25","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","EO","Unknown","45","40","27120","27570"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","HEO","Heterosexual / straight","65","65","33920","33300"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SEO","Heterosexual / straight","45","45","44530","45100"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","SEO","Unknown","5","5","[c]","[c]"
