"Status","Year","Age","Function_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Monmouthshire and Newport","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Westminster","London","10","10","26770","27680"
"In post","2022","16-19","Analysis","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Nottingham","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Westminster","London","10","10","26740","27380"
