"Status","Year","Function_of_post","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","London","AO","Female","35","30","24630","25000"
"In post","2022","Analysis","London","AO","Male","35","30","24210","23690"
"In post","2022","Analysis","London","EO","Female","150","150","28690","28310"
"In post","2022","Analysis","London","EO","Male","150","150","29000","28820"
"In post","2022","Analysis","London","G6","Female","215","195","72020","68620"
"In post","2022","Analysis","London","G6","Male","255","250","77120","72630"
"In post","2022","Analysis","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","G7","Female","495","460","57130","56060"
"In post","2022","Analysis","London","G7","Male","650","640","57250","56140"
"In post","2022","Analysis","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","HEO","Female","440","430","35330","34710"
"In post","2022","Analysis","London","HEO","Male","600","595","35570","35000"
"In post","2022","Analysis","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","SCS level","Female","65","60","87060","81000"
"In post","2022","Analysis","London","SCS level","Male","80","75","96130","83360"
"In post","2022","Analysis","London","SEO","Female","285","270","43270","42470"
"In post","2022","Analysis","London","SEO","Male","305","300","43760","43050"
"In post","2022","Analysis","Outside London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","AO","Female","100","95","21000","21260"
"In post","2022","Analysis","Outside London","AO","Male","90","85","20990","21260"
"In post","2022","Analysis","Outside London","EO","Female","295","270","25730","25120"
"In post","2022","Analysis","Outside London","EO","Male","265","260","25740","25120"
"In post","2022","Analysis","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","G6","Female","90","80","64730","63980"
"In post","2022","Analysis","Outside London","G6","Male","120","115","66200","66280"
"In post","2022","Analysis","Outside London","G7","Female","425","395","51850","51210"
"In post","2022","Analysis","Outside London","G7","Male","555","535","52230","51210"
"In post","2022","Analysis","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","HEO","Female","715","680","31500","30710"
"In post","2022","Analysis","Outside London","HEO","Male","720","705","31570","30720"
"In post","2022","Analysis","Outside London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","SCS level","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Outside London","SCS level","Male","30","30","82310","75210"
"In post","2022","Analysis","Outside London","SEO","Female","640","590","38860","38340"
"In post","2022","Analysis","Outside London","SEO","Male","615","600","39080","38340"
"In post","2022","Analysis","Outside London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","AO","Female","20","20","[c]","[c]"
"In post","2022","Commercial","London","AO","Male","25","20","[c]","[c]"
"In post","2022","Commercial","London","EO","Female","65","65","28440","28240"
"In post","2022","Commercial","London","EO","Male","45","45","28640","28310"
"In post","2022","Commercial","London","G6","Female","135","135","73860","70680"
"In post","2022","Commercial","London","G6","Male","170","170","75080","72360"
"In post","2022","Commercial","London","G7","Female","320","310","58260","54700"
"In post","2022","Commercial","London","G7","Male","335","330","59440","56720"
"In post","2022","Commercial","London","HEO","Female","130","125","34370","34260"
"In post","2022","Commercial","London","HEO","Male","85","80","34440","34260"
"In post","2022","Commercial","London","SCS level","Female","70","70","104360","96890"
"In post","2022","Commercial","London","SCS level","Male","130","125","120620","117750"
"In post","2022","Commercial","London","SEO","Female","160","160","42120","41750"
"In post","2022","Commercial","London","SEO","Male","175","175","43610","42010"
"In post","2022","Commercial","Outside London","AA","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Outside London","AA","Male","25","20","[c]","[c]"
"In post","2022","Commercial","Outside London","AO","Female","115","100","22710","21840"
"In post","2022","Commercial","Outside London","AO","Male","100","95","22410","21840"
"In post","2022","Commercial","Outside London","EO","Female","390","365","26210","26350"
"In post","2022","Commercial","Outside London","EO","Male","250","245","26540","26350"
"In post","2022","Commercial","Outside London","G6","Female","160","160","69180","64870"
"In post","2022","Commercial","Outside London","G6","Male","200","195","71740","68100"
"In post","2022","Commercial","Outside London","G7","Female","430","415","54420","51830"
"In post","2022","Commercial","Outside London","G7","Male","450","445","56120","53800"
"In post","2022","Commercial","Outside London","HEO","Female","525","495","32340","33000"
"In post","2022","Commercial","Outside London","HEO","Male","415","410","32430","32310"
"In post","2022","Commercial","Outside London","SCS level","Female","55","55","101100","93000"
"In post","2022","Commercial","Outside London","SCS level","Male","75","75","106400","101880"
"In post","2022","Commercial","Outside London","SEO","Female","700","665","39570","39560"
"In post","2022","Commercial","Outside London","SEO","Male","590","580","40150","40180"
"In post","2022","Commercial","Outside London","Unknown","Female","75","75","37500","37280"
"In post","2022","Commercial","Outside London","Unknown","Male","90","90","42140","39860"
"In post","2022","Commercial","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","HEO","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Unknown","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","EO","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","G7","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Unknown","G7","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO","Male","5","5","[c]","[c]"
"In post","2022","Communications","London","AA","Female","5","5","[c]","[c]"
"In post","2022","Communications","London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","AO","Female","35","35","24160","24480"
"In post","2022","Communications","London","AO","Male","30","30","[c]","[c]"
"In post","2022","Communications","London","EO","Female","200","195","28720","27960"
"In post","2022","Communications","London","EO","Male","110","105","28960","27850"
"In post","2022","Communications","London","G6","Female","155","150","68250","66250"
"In post","2022","Communications","London","G6","Male","105","105","68940","68620"
"In post","2022","Communications","London","G7","Female","345","330","56120","54700"
"In post","2022","Communications","London","G7","Male","200","200","56350","54700"
"In post","2022","Communications","London","HEO","Female","315","310","35590","34710"
"In post","2022","Communications","London","HEO","Male","225","225","35950","35350"
"In post","2022","Communications","London","SCS level","Female","60","55","90010","85000"
"In post","2022","Communications","London","SCS level","Male","60","60","97340","90160"
"In post","2022","Communications","London","SEO","Female","345","335","43230","42630"
"In post","2022","Communications","London","SEO","Male","235","235","43380","42770"
"In post","2022","Communications","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","AA","Female","10","10","[c]","[c]"
"In post","2022","Communications","Outside London","AA","Male","10","10","[c]","[c]"
"In post","2022","Communications","Outside London","AO","Female","220","190","21510","21250"
"In post","2022","Communications","Outside London","AO","Male","180","170","21500","21250"
"In post","2022","Communications","Outside London","EO","Female","1380","1300","26720","26820"
"In post","2022","Communications","Outside London","EO","Male","1550","1530","26770","26820"
"In post","2022","Communications","Outside London","G6","Female","60","60","64410","64880"
"In post","2022","Communications","Outside London","G6","Male","40","40","65160","64680"
"In post","2022","Communications","Outside London","G7","Female","175","165","52600","53500"
"In post","2022","Communications","Outside London","G7","Male","115","115","51520","53360"
"In post","2022","Communications","Outside London","HEO","Female","815","775","32880","33300"
"In post","2022","Communications","Outside London","HEO","Male","785","775","33130","33370"
"In post","2022","Communications","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Communications","Outside London","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Communications","Outside London","SEO","Female","420","400","39600","40180"
"In post","2022","Communications","Outside London","SEO","Male","300","300","39720","40250"
"In post","2022","Communications","Outside London","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Communications","Outside London","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Communications","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","AO","Female","395","325","24820","25110"
"In post","2022","Counter Fraud","London","AO","Male","190","180","25010","25110"
"In post","2022","Counter Fraud","London","EO","Female","640","585","31180","31020"
"In post","2022","Counter Fraud","London","EO","Male","565","550","31300","31020"
"In post","2022","Counter Fraud","London","G6","Female","35","30","70970","72660"
"In post","2022","Counter Fraud","London","G6","Male","75","75","72820","74850"
"In post","2022","Counter Fraud","London","G7","Female","115","105","59830","62120"
"In post","2022","Counter Fraud","London","G7","Male","200","195","60630","62120"
"In post","2022","Counter Fraud","London","HEO","Female","420","400","37500","37930"
"In post","2022","Counter Fraud","London","HEO","Male","480","470","37740","37930"
"In post","2022","Counter Fraud","London","SCS level","Female","15","15","[c]","[c]"
"In post","2022","Counter Fraud","London","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Counter Fraud","London","SEO","Female","175","170","43470","43810"
"In post","2022","Counter Fraud","London","SEO","Male","275","270","43650","43810"
"In post","2022","Counter Fraud","Outside London","AA","Female","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","AA","Male","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","AO","Female","1340","1090","21670","21260"
"In post","2022","Counter Fraud","Outside London","AO","Male","815","775","21620","21260"
"In post","2022","Counter Fraud","Outside London","EO","Female","3390","3005","27550","27570"
"In post","2022","Counter Fraud","Outside London","EO","Male","2595","2460","27490","27570"
"In post","2022","Counter Fraud","Outside London","G6","Female","60","60","67550","67910"
"In post","2022","Counter Fraud","Outside London","G6","Male","145","140","67940","67910"
"In post","2022","Counter Fraud","Outside London","G7","Female","270","255","54550","55210"
"In post","2022","Counter Fraud","Outside London","G7","Male","410","395","54700","55210"
