"Status","Year","Ethnicity","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","AA","Heterosexual / straight","535","480","21100","21050"
"In post","2022","Asian","AA","LGBO","25","20","[c]","[c]"
"In post","2022","Asian","AA","Undeclared","65","55","21020","21650"
"In post","2022","Asian","AA","Unknown","55","45","21680","21250"
"In post","2022","Asian","AO","Heterosexual / straight","6170","5530","22800","21260"
"In post","2022","Asian","AO","LGBO","165","150","23280","21390"
"In post","2022","Asian","AO","Undeclared","540","470","22880","21680"
"In post","2022","Asian","AO","Unknown","955","775","22580","21260"
"In post","2022","Asian","EO","Heterosexual / straight","8980","8490","28310","27570"
"In post","2022","Asian","EO","LGBO","205","190","28230","27570"
"In post","2022","Asian","EO","Undeclared","585","530","28580","28310"
"In post","2022","Asian","EO","Unknown","1050","930","28580","27570"
"In post","2022","Asian","G6","Heterosexual / straight","720","695","69160","67510"
"In post","2022","Asian","G6","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","G6","Undeclared","35","35","68090","66740"
"In post","2022","Asian","G6","Unknown","70","70","71560","67910"
"In post","2022","Asian","G7","Heterosexual / straight","2520","2465","55870","54760"
"In post","2022","Asian","G7","LGBO","85","85","55170","54030"
"In post","2022","Asian","G7","Undeclared","140","135","55930","54850"
"In post","2022","Asian","G7","Unknown","240","230","56390","55210"
"In post","2022","Asian","HEO","Heterosexual / straight","4960","4815","34300","33570"
"In post","2022","Asian","HEO","LGBO","115","110","34470","33570"
"In post","2022","Asian","HEO","Undeclared","275","265","34650","34260"
"In post","2022","Asian","HEO","Unknown","445","430","35120","33680"
"In post","2022","Asian","SCS level","Heterosexual / straight","270","265","90840","85000"
"In post","2022","Asian","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","SCS level","Unknown","35","35","99870","87110"
"In post","2022","Asian","SEO","Heterosexual / straight","3005","2950","42110","41560"
"In post","2022","Asian","SEO","LGBO","85","80","41830","40650"
"In post","2022","Asian","SEO","Undeclared","180","175","42130","41750"
"In post","2022","Asian","SEO","Unknown","260","255","42220","40850"
"In post","2022","Asian","Unknown","Heterosexual / straight","785","735","30030","28200"
"In post","2022","Asian","Unknown","LGBO","20","15","[c]","[c]"
"In post","2022","Asian","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Black","AA","Heterosexual / straight","410","385","22440","22000"
"In post","2022","Black","AA","LGBO","5","5","[c]","[c]"
"In post","2022","Black","AA","Undeclared","25","20","[c]","[c]"
"In post","2022","Black","AA","Unknown","75","70","23990","24620"
"In post","2022","Black","AO","Heterosexual / straight","2985","2790","24750","23960"
"In post","2022","Black","AO","LGBO","65","65","24780","23720"
"In post","2022","Black","AO","Undeclared","205","180","24570","24310"
"In post","2022","Black","AO","Unknown","375","335","25660","24310"
