"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Central Hampshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","East Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Sheffield","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Westminster","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Wiltshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","East Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Westminster","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Central Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Bristol, City of","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Camden and City of London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","SEO/HEO","10","10","40750","42530"
"In post","2022","Analysis","Digital, Data and Technology","Central Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Central Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Central Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","City of Edinburgh","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","City of Edinburgh","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Coventry","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Coventry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Darlington","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Darlington","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Manchester","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Nottingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Sheffield","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Sheffield","G6/G7","10","10","52780","50650"
"In post","2022","Analysis","Digital, Data and Technology","Sheffield","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Sheffield","SEO/HEO","10","10","34900","32870"
"In post","2022","Analysis","Digital, Data and Technology","Swindon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tower Hamlets","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tower Hamlets","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tower Hamlets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tower Hamlets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Westminster","G6/G7","20","20","58430","53960"
"In post","2022","Analysis","Digital, Data and Technology","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Westminster","SEO/HEO","25","25","40390","39330"
