"Status","Year","Age","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","Leicester","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicester","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","10","10","20830","20890"
"In post","2022","16-19","East Midlands (England)","Lincolnshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","North Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","North Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Nottingham","AA/AO","20","20","21490","21250"
"In post","2022","16-19","East Midlands (England)","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","South and West Derbyshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","West Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedford","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedford","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Breckland and South Norfolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Cambridgeshire CC","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Essex Haven Gateway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Heart of Essex","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Hertfordshire CC","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Norwich and East Norfolk","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Peterborough","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Suffolk CC","AA/AO","10","10","21860","21260"
