"Status","Year","Disability","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","London","AA","Female","95","80","23030","22460"
"In post","2022","Declared disabled","London","AA","Male","80","75","22570","22350"
"In post","2022","Declared disabled","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","AO","Female","710","630","25320","25110"
"In post","2022","Declared disabled","London","AO","Male","440","425","26570","25330"
"In post","2022","Declared disabled","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","EO","Female","1560","1445","30260","30750"
"In post","2022","Declared disabled","London","EO","Male","910","875","30440","30700"
"In post","2022","Declared disabled","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","G6","Female","380","360","68280","67130"
"In post","2022","Declared disabled","London","G6","Male","300","295","69540","68700"
"In post","2022","Declared disabled","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","G7","Female","870","830","56550","54830"
"In post","2022","Declared disabled","London","G7","Male","720","705","57220","56340"
"In post","2022","Declared disabled","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","HEO","Female","1055","1015","35590","35070"
"In post","2022","Declared disabled","London","HEO","Male","800","785","36220","35740"
"In post","2022","Declared disabled","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","SCS level","Female","160","155","87230","79360"
"In post","2022","Declared disabled","London","SCS level","Male","140","140","92420","81890"
"In post","2022","Declared disabled","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","SEO","Female","735","710","42980","41970"
"In post","2022","Declared disabled","London","SEO","Male","560","550","43670","42660"
"In post","2022","Declared disabled","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Unknown","Female","310","300","34790","33700"
"In post","2022","Declared disabled","London","Unknown","Male","105","105","36930","36580"
"In post","2022","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outside London","AA","Female","895","755","20220","19810"
"In post","2022","Declared disabled","Outside London","AA","Male","915","845","20450","20420"
"In post","2022","Declared disabled","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outside London","AO","Female","7700","6435","21920","21260"
"In post","2022","Declared disabled","Outside London","AO","Male","4860","4535","23210","21260"
