"Status","Year","Age","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedfordshire and Hertfordshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","East of England","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","East Anglia","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","East of England","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","East Anglia","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Essex","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","London","Inner London - East","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","London","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Inner London - East","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","London","Inner London - West","Heterosexual / straight","55","55","25090","25110"
"In post","2022","16-19","London","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Inner London - West","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","London","Inner London - West","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","London","Outer London - East and North East","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","London","Outer London - East and North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Outer London - East and North East","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","London","Outer London - South","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Outer London - South","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","London","Outer London - West and North West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Outer London - West and North West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Outer London - West and North West","Undeclared","5","0","[c]","[c]"
"In post","2022","16-19","London","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Northumberland, and Tyne and Wear","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","North East (England)","Northumberland, and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Northumberland, and Tyne and Wear","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Northumberland, and Tyne and Wear","Unknown","30","30","21420","21250"
