"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","G6/G7","Male","35","35","56910","54280"
"In post","2022","Analysis","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SEO/HEO","Female","45","45","38830","39350"
"In post","2022","Analysis","Digital, Data and Technology","SEO/HEO","Male","40","35","39110","38310"
"In post","2022","Analysis","Economics","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Economics","AA/AO","Male","35","35","20820","19860"
"In post","2022","Analysis","Economics","EO","Female","60","60","27110","27680"
"In post","2022","Analysis","Economics","EO","Male","50","50","27050","27340"
"In post","2022","Analysis","Economics","G6/G7","Female","190","175","59750","55810"
"In post","2022","Analysis","Economics","G6/G7","Male","380","375","59620","56140"
"In post","2022","Analysis","Economics","SCS level","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Economics","SCS level","Male","40","35","99940","91050"
"In post","2022","Analysis","Economics","SEO/HEO","Female","195","190","35240","33880"
"In post","2022","Analysis","Economics","SEO/HEO","Male","390","385","35310","34090"
"In post","2022","Analysis","Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Geography","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","EO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Geography","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Human Resources","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Human Resources","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
