"Status","Year","Disability","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","115","110","39500","37400"
"In post","2022","Declared disabled","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Belfast","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Birmingham","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Blackpool","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Brent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Buckinghamshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cambridgeshire CC","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Central Hampshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Croydon","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Darlington","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Devon CC","15","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Dudley","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Enfield","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Falkirk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Glasgow City","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Greater Manchester South West","10","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Lambeth","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Leeds","40","35","38170","32130"
"In post","2022","Declared disabled","Commercial","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Liverpool","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Manchester","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Monmouthshire and Newport","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northumberland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Nottingham","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
