"Status","Year","Organisation","Parent_department","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","AA","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","HEO","25","25","34650","36130"
"In post","2022","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","SEO","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Glasgow City","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","EO","25","20","24730","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","HEO","35","35","32220","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","SEO","15","15","40550","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bournemouth, Christchurch and Poole","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","EO","10","5","[c]","[c]"
