"Status","Year","Age","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","Female","Heterosexual / straight","50","50","25290","25110"
"In post","2022","16-19","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","London","Female","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","London","Male","Heterosexual / straight","35","30","25130","25110"
"In post","2022","16-19","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Male","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","Female","Heterosexual / straight","285","280","21840","21260"
"In post","2022","16-19","Outside London","Female","LGBO","35","30","22820","21640"
"In post","2022","16-19","Outside London","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","16-19","Outside London","Female","Unknown","190","180","21600","21250"
"In post","2022","16-19","Outside London","Male","Heterosexual / straight","300","295","21310","21250"
"In post","2022","16-19","Outside London","Male","LGBO","10","10","[c]","[c]"
"In post","2022","16-19","Outside London","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","16-19","Outside London","Male","Unknown","245","235","20740","21250"
"In post","2022","16-19","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","London","Female","Heterosexual / straight","8315","8240","36500","33930"
"In post","2022","20-29","London","Female","LGBO","1045","1035","36760","33570"
"In post","2022","20-29","London","Female","Undeclared","1005","990","37120","33570"
"In post","2022","20-29","London","Female","Unknown","3390","3365","34730","32000"
"In post","2022","20-29","London","Male","Heterosexual / straight","5790","5770","37350","34260"
"In post","2022","20-29","London","Male","LGBO","940","940","40010","37560"
"In post","2022","20-29","London","Male","Undeclared","740","735","38680","35060"
"In post","2022","20-29","London","Male","Unknown","2730","2720","36020","33250"
"In post","2022","20-29","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Outside London","Female","Heterosexual / straight","20615","20130","27100","26350"
"In post","2022","20-29","Outside London","Female","LGBO","2740","2695","26670","25700"
"In post","2022","20-29","Outside London","Female","Undeclared","1390","1355","27130","26010"
"In post","2022","20-29","Outside London","Female","Unknown","8095","7875","25960","24800"
"In post","2022","20-29","Outside London","Male","Heterosexual / straight","15845","15735","27300","26590"
"In post","2022","20-29","Outside London","Male","LGBO","1875","1860","27530","26670"
"In post","2022","20-29","Outside London","Male","Undeclared","1240","1230","28570","27430"
"In post","2022","20-29","Outside London","Male","Unknown","7690","7615","26580","25530"
"In post","2022","20-29","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
