"Status","Year","Age","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","Female","80","80","25620","25110"
"In post","2022","16-19","London","Male","65","60","25370","25170"
"In post","2022","16-19","Outside London","Female","525","505","21780","21250"
"In post","2022","16-19","Outside London","Male","570","555","21100","21250"
"In post","2022","16-19","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Male","25","25","[c]","[c]"
"In post","2022","20-29","London","Female","13750","13635","36130","33550"
"In post","2022","20-29","London","Male","10200","10165","37340","34260"
"In post","2022","20-29","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Outside London","Female","32840","32055","26780","25700"
"In post","2022","20-29","Outside London","Male","26645","26435","27170","26590"
"In post","2022","20-29","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Overseas","Female","180","180","35030","33230"
"In post","2022","20-29","Overseas","Male","150","150","36440","33230"
"In post","2022","20-29","Unknown","Female","300","295","29580","29250"
"In post","2022","20-29","Unknown","Male","505","505","29260","28980"
"In post","2022","30-39","London","Female","13570","12945","45640","41970"
"In post","2022","30-39","London","Male","11635","11550","46870","43430"
"In post","2022","30-39","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Outside London","Female","45600","41505","31080","27570"
"In post","2022","30-39","Outside London","Male","39020","38610","32370","29280"
"In post","2022","30-39","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Overseas","Female","445","440","47120","51500"
"In post","2022","30-39","Overseas","Male","590","585","46430","49370"
"In post","2022","30-39","Unknown","Female","195","185","36840","32160"
"In post","2022","30-39","Unknown","Male","470","470","36720","32700"
"In post","2022","40-49","London","Female","12585","11585","47710","42410"
"In post","2022","40-49","London","Male","10190","10090","50510","45200"
"In post","2022","40-49","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Outside London","Female","52005","46570","33050","27570"
"In post","2022","40-49","Outside London","Male","39900","39340","35540","31650"
"In post","2022","40-49","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Overseas","Female","505","500","52880","54470"
"In post","2022","40-49","Overseas","Male","645","645","52330","53750"
"In post","2022","40-49","Unknown","Female","215","205","35820","31060"
"In post","2022","40-49","Unknown","Male","445","440","40760","35380"
"In post","2022","50-59","London","Female","12795","12105","42830","36510"
"In post","2022","50-59","London","Male","11350","11200","47970","41500"
"In post","2022","50-59","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Outside London","Female","64375","58175","31540","27570"
"In post","2022","50-59","Outside London","Male","52685","51135","35590","31650"
"In post","2022","50-59","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Overseas","Female","325","320","51960","49880"
"In post","2022","50-59","Overseas","Male","640","640","52590","52490"
"In post","2022","50-59","Unknown","Female","225","210","32810","30330"
"In post","2022","50-59","Unknown","Male","640","635","41760","36970"
"In post","2022","60-64","London","Female","3200","2820","37760","31880"
"In post","2022","60-64","London","Male","2980","2710","44620","37930"
"In post","2022","60-64","Outside London","Female","18305","14350","28200","26400"
"In post","2022","60-64","Outside London","Male","15680","13360","33150","28920"
"In post","2022","60-64","Overseas","Female","45","45","61290","61960"
"In post","2022","60-64","Overseas","Male","130","125","54110","52350"
"In post","2022","60-64","Unknown","Female","70","55","32850","29200"
"In post","2022","60-64","Unknown","Male","160","155","39480","36080"
"In post","2022","65+","London","Female","1180","960","34580","29250"
"In post","2022","65+","London","Male","1240","1045","40830","33900"
"In post","2022","65+","Outside London","Female","4695","3410","27040","24250"
"In post","2022","65+","Outside London","Male","5380","4200","31780","27570"
"In post","2022","65+","Overseas","Female","10","5","[c]","[c]"
"In post","2022","65+","Overseas","Male","20","20","[c]","[c]"
