"Status","Year","Disability","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Heterosexual / straight","90","85","23980","23620"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","170","155","29000","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","80","75","39620","37880"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","60","55","29260","28200"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Heterosexual / straight","235","225","25340","23380"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","LGBO","30","30","28040","26560"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Undeclared","35","35","25640","23520"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","225","205","29070","27570"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","30","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Heterosexual / straight","50","50","58570","55500"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
