"Status","Year","Age","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
