"Status","Year","Age","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","30-39","Scotland","Outside London","Female","6280","5845","33440","30450"
"In post","2022","30-39","Scotland","Outside London","Male","5360","5320","33530","31540"
"In post","2022","30-39","South East (England)","Outside London","Female","4095","3710","31320","29290"
"In post","2022","30-39","South East (England)","Outside London","Male","3695","3660","32940","30710"
"In post","2022","30-39","South West (England)","Outside London","Female","5130","4630","33370","31990"
"In post","2022","30-39","South West (England)","Outside London","Male","4920","4880","35550","33370"
"In post","2022","30-39","Unknown","Unknown","Female","195","185","36840","32160"
"In post","2022","30-39","Unknown","Unknown","Male","470","470","36720","32700"
"In post","2022","30-39","Wales","Outside London","Female","5170","4680","30320","27570"
"In post","2022","30-39","Wales","Outside London","Male","4040","3990","31720","27570"
"In post","2022","30-39","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","West Midlands (England)","Outside London","Female","3935","3600","29970","27570"
"In post","2022","30-39","West Midlands (England)","Outside London","Male","3135","3095","31090","27570"
"In post","2022","30-39","Yorkshire and The Humber","Outside London","Female","4480","4030","31720","27570"
"In post","2022","30-39","Yorkshire and The Humber","Outside London","Male","3930","3875","32430","28190"
"In post","2022","40-49","East Midlands (England)","Outside London","Female","3135","2795","31930","27570"
"In post","2022","40-49","East Midlands (England)","Outside London","Male","2170","2130","33150","28950"
"In post","2022","40-49","East of England","Outside London","Female","2995","2640","32300","29290"
"In post","2022","40-49","East of England","Outside London","Male","2300","2275","33630","30730"
"In post","2022","40-49","London","London","Female","12585","11585","47710","42410"
"In post","2022","40-49","London","London","Male","10190","10090","50510","45200"
"In post","2022","40-49","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","North East (England)","Outside London","Female","4740","4180","30270","27570"
"In post","2022","40-49","North East (England)","Outside London","Male","3280","3230","33570","28010"
"In post","2022","40-49","North West (England)","Outside London","Female","8840","7920","31280","27570"
"In post","2022","40-49","North West (England)","Outside London","Male","6355","6260","33350","28000"
"In post","2022","40-49","Northern Ireland","Outside London","Female","520","475","30860","26820"
"In post","2022","40-49","Northern Ireland","Outside London","Male","565","560","30560","26820"
"In post","2022","40-49","Overseas","Overseas","Female","505","500","52880","54470"
"In post","2022","40-49","Overseas","Overseas","Male","645","645","52330","53750"
"In post","2022","40-49","Scotland","Outside London","Female","6370","5800","35730","30040"
"In post","2022","40-49","Scotland","Outside London","Male","4995","4935","37440","33080"
"In post","2022","40-49","South East (England)","Outside London","Female","5045","4525","33740","29290"
"In post","2022","40-49","South East (England)","Outside London","Male","4205","4150","35390","31950"
"In post","2022","40-49","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","South West (England)","Outside London","Female","5290","4730","35530","32140"
"In post","2022","40-49","South West (England)","Outside London","Male","5240","5180","39820","38070"
"In post","2022","40-49","Unknown","Unknown","Female","215","205","35820","31060"
"In post","2022","40-49","Unknown","Unknown","Male","445","440","40760","35380"
"In post","2022","40-49","Wales","Outside London","Female","5325","4790","33070","27570"
"In post","2022","40-49","Wales","Outside London","Male","3820","3765","36350","31110"
"In post","2022","40-49","West Midlands (England)","Outside London","Female","4645","4195","32690","27570"
"In post","2022","40-49","West Midlands (England)","Outside London","Male","2995","2945","34830","30450"
"In post","2022","40-49","Yorkshire and The Humber","Outside London","Female","5105","4535","33790","28970"
"In post","2022","40-49","Yorkshire and The Humber","Outside London","Male","3975","3910","35680","31650"
"In post","2022","50-59","East Midlands (England)","Outside London","Female","4015","3630","30810","27570"
"In post","2022","50-59","East Midlands (England)","Outside London","Male","3045","2955","34010","31650"
"In post","2022","50-59","East of England","Outside London","Female","3950","3620","31320","27570"
"In post","2022","50-59","East of England","Outside London","Male","3455","3365","34500","31650"
"In post","2022","50-59","London","London","Female","12795","12105","42830","36510"
"In post","2022","50-59","London","London","Male","11350","11200","47970","41500"
"In post","2022","50-59","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","North East (England)","Outside London","Female","5850","5070","29230","26820"
"In post","2022","50-59","North East (England)","Outside London","Male","3795","3630","32990","28920"
"In post","2022","50-59","North West (England)","Outside London","Female","11225","10130","30430","27570"
"In post","2022","50-59","North West (England)","Outside London","Male","7600","7365","34010","29550"
"In post","2022","50-59","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Northern Ireland","Outside London","Female","560","515","32020","28920"
"In post","2022","50-59","Northern Ireland","Outside London","Male","690","675","29530","25630"
"In post","2022","50-59","Overseas","Overseas","Female","325","320","51960","49880"
"In post","2022","50-59","Overseas","Overseas","Male","640","640","52590","52490"
"In post","2022","50-59","Scotland","Outside London","Female","7960","7215","33260","27570"
"In post","2022","50-59","Scotland","Outside London","Male","6970","6770","36480","33370"
"In post","2022","50-59","South East (England)","Outside London","Female","6895","6295","31520","27570"
"In post","2022","50-59","South East (England)","Outside London","Male","6615","6385","35530","32260"
"In post","2022","50-59","South West (England)","Outside London","Female","6165","5645","33750","28430"
"In post","2022","50-59","South West (England)","Outside London","Male","7320","7160","39910","37370"
"In post","2022","50-59","Unknown","Unknown","Female","225","210","32810","30330"
"In post","2022","50-59","Unknown","Unknown","Male","640","635","41760","36970"
"In post","2022","50-59","Wales","Outside London","Female","5790","5255","31760","27570"
"In post","2022","50-59","Wales","Outside London","Male","4145","4030","36510","31650"
"In post","2022","50-59","West Midlands (England)","Outside London","Female","5610","5070","30820","27570"
"In post","2022","50-59","West Midlands (England)","Outside London","Male","4080","3970","34340","30450"
"In post","2022","50-59","Yorkshire and The Humber","Outside London","Female","6360","5730","32330","27570"
"In post","2022","50-59","Yorkshire and The Humber","Outside London","Male","4975","4820","35310","31650"
"In post","2022","60-64","East Midlands (England)","Outside London","Female","1070","865","27110","26120"
"In post","2022","60-64","East Midlands (England)","Outside London","Male","890","770","31540","27570"
"In post","2022","60-64","East of England","Outside London","Female","1105","935","28860","27570"
"In post","2022","60-64","East of England","Outside London","Male","1085","950","32270","29290"
"In post","2022","60-64","London","London","Female","3200","2820","37760","31880"
"In post","2022","60-64","London","London","Male","2980","2710","44620","37930"
"In post","2022","60-64","North East (England)","Outside London","Female","1970","1445","26110","22080"
"In post","2022","60-64","North East (England)","Outside London","Male","1155","920","29770","27570"
"In post","2022","60-64","North West (England)","Outside London","Female","3155","2440","27250","25200"
"In post","2022","60-64","North West (England)","Outside London","Male","2105","1760","31410","27570"
"In post","2022","60-64","Northern Ireland","Outside London","Female","115","95","27410","25100"
"In post","2022","60-64","Northern Ireland","Outside London","Male","155","140","29260","25630"
"In post","2022","60-64","Overseas","Overseas","Female","45","45","61290","61960"
"In post","2022","60-64","Overseas","Overseas","Male","130","125","54110","52350"
"In post","2022","60-64","Scotland","Outside London","Female","2210","1715","29260","26820"
"In post","2022","60-64","Scotland","Outside London","Male","2040","1695","34160","30040"
"In post","2022","60-64","South East (England)","Outside London","Female","2090","1710","28690","26780"
"In post","2022","60-64","South East (England)","Outside London","Male","2245","1945","33630","30210"
"In post","2022","60-64","South West (England)","Outside London","Female","1605","1305","30250","27570"
"In post","2022","60-64","South West (England)","Outside London","Male","2230","1980","37350","33840"
"In post","2022","60-64","Unknown","Unknown","Female","70","55","32850","29200"
"In post","2022","60-64","Unknown","Unknown","Male","160","155","39480","36080"
"In post","2022","60-64","Wales","Outside London","Female","1800","1360","27920","24630"
"In post","2022","60-64","Wales","Outside London","Male","1215","1025","34420","29430"
"In post","2022","60-64","West Midlands (England)","Outside London","Female","1595","1260","28550","27130"
"In post","2022","60-64","West Midlands (England)","Outside London","Male","1220","1065","32100","27570"
"In post","2022","60-64","Yorkshire and The Humber","Outside London","Female","1590","1220","28750","27370"
"In post","2022","60-64","Yorkshire and The Humber","Outside London","Male","1340","1105","31490","27700"
"In post","2022","65+","East Midlands (England)","Outside London","Female","230","175","27720","23960"
