"Status","Year","Disability","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Heterosexual / straight","60","55","46650","37950"
"In post","2022","Declared disabled","Analysis","Economics","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","LGBO","[c]","[c]","[c]","[c]"
