"Status","Year","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AA","Female","115","100","20740","21650"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AA","Male","130","130","21420","21790"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AO","Female","545","490","24660","23770"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","AO","Male","400","390","27390","28140"
"In post","2022","Bedfordshire and Hertfordshire","EO","EO","Female","945","860","28850","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","EO","Male","665","640","29290","29290"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G6","Female","55","55","70780","68500"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G6","Male","60","55","70310","68500"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G7","Female","155","145","57770","55740"
"In post","2022","Bedfordshire and Hertfordshire","G6/G7","G7","Male","140","140","58200","56820"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","SCS level","Female","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SCS level","SCS level","Male","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","HEO","Female","310","295","35150","34680"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","HEO","Male","315","310","35610","35820"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","SEO","Female","230","215","43970","43020"
"In post","2022","Bedfordshire and Hertfordshire","SEO/HEO","SEO","Male","190","190","44030","44500"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Unknown","Female","325","300","29590","28200"
"In post","2022","Bedfordshire and Hertfordshire","Unknown","Unknown","Male","80","75","29540","27810"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","Female","250","225","21050","21480"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","Male","290","285","20890","19950"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","Female","1275","1160","24420","22690"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","Male","1455","1430","29190","28140"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","Female","1320","1215","28580","27570"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","Male","1010","985","30640","28990"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","Female","90","85","72550","69580"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","Male","105","100","71570","69920"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","Female","265","245","56760","55050"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","Male","325","305","56390","55210"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","Female","30","30","96660","94340"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","Male","35","35","100860","1e+05"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","Female","725","685","34170","33660"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","Male","695","670","35940","34730"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","Female","460","435","42540","40980"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","Male","550","540","44090","42210"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","Female","480","445","29430","26310"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","Male","175","170","27630","24090"
"In post","2022","Cheshire","AA/AO","AA","Female","85","75","20510","20890"
"In post","2022","Cheshire","AA/AO","AA","Male","80","75","20790","20890"
"In post","2022","Cheshire","AA/AO","AO","Female","715","625","22760","21260"
"In post","2022","Cheshire","AA/AO","AO","Male","475","455","24720","23140"
"In post","2022","Cheshire","EO","EO","Female","785","730","29150","27570"
"In post","2022","Cheshire","EO","EO","Male","585","570","30600","29830"
"In post","2022","Cheshire","G6/G7","G6","Female","40","40","66980","64440"
"In post","2022","Cheshire","G6/G7","G6","Male","25","25","[c]","[c]"
"In post","2022","Cheshire","G6/G7","G7","Female","115","110","54500","54800"
