"Status","Year","Disability","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","35","35","47250","39570"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","20","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","90","80","43230","37380"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs","85","80","44090","40520"
"In post","2022","Declared disabled","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","50","45","39980","38070"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","60","55","43290","41370"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","185","175","37650","36840"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","65","65","48000","38980"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","35","35","35240","31450"
"In post","2022","Declared disabled","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","25","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
