"Status","Year","Age","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","60-64","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Unknown","London","525","480","44160","38440"
"In post","2022","60-64","Unknown","Outside London","2865","2375","29760","26440"
"In post","2022","60-64","Unknown","Overseas","15","15","[c]","[c]"
"In post","2022","60-64","Unknown","Unknown","125","125","39980","37300"
"In post","2022","60-64","White","London","3220","2865","45310","38340"
"In post","2022","60-64","White","Outside London","27805","22560","30450","27570"
"In post","2022","60-64","White","Overseas","130","130","56900","54540"
"In post","2022","60-64","White","Unknown","70","60","37380","29860"
"In post","2022","65+","Asian","London","515","410","31230","28220"
"In post","2022","65+","Asian","Outside London","230","175","29740","26390"
"In post","2022","65+","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","65+","Asian","Unknown","15","10","[c]","[c]"
"In post","2022","65+","Black","London","290","255","30920","28210"
"In post","2022","65+","Black","Outside London","110","95","28160","25310"
"In post","2022","65+","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","65+","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Mixed","London","45","40","34640","31060"
"In post","2022","65+","Mixed","Outside London","80","65","30680","27470"
"In post","2022","65+","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","65+","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Other ethnicity","London","40","35","37590","30810"
"In post","2022","65+","Other ethnicity","Outside London","30","25","[c]","[c]"
"In post","2022","65+","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","65+","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Undeclared","London","165","130","39550","33440"
"In post","2022","65+","Undeclared","Outside London","535","395","30750","27570"
"In post","2022","65+","Undeclared","Overseas","5","5","[c]","[c]"
"In post","2022","65+","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","London","205","170","43200","34670"
"In post","2022","65+","Unknown","Outside London","915","680","29910","26300"
"In post","2022","65+","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","65+","White","London","1165","970","41310","33440"
"In post","2022","65+","White","Outside London","8175","6170","29460","26780"
"In post","2022","65+","White","Overseas","20","20","[c]","[c]"
"In post","2022","65+","White","Unknown","15","10","[c]","[c]"
"In post","2022","Unknown","Asian","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Asian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","Outside London","15","10","[c]","[c]"
"Leaver CS","2022","16-19","Asian","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Asian","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Black","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Black","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Mixed","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Mixed","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other ethnicity","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","London","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Outside London","70","[c]","20190","20860"
"Leaver CS","2022","16-19","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","White","London","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","White","Outside London","70","[c]","21120","21260"
"Leaver CS","2022","16-19","White","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Asian","London","385","[c]","30320","29400"
"Leaver CS","2022","20-29","Asian","Outside London","435","[c]","24610","22480"
"Leaver CS","2022","20-29","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Asian","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Black","London","285","[c]","29840","31060"
"Leaver CS","2022","20-29","Black","Outside London","150","[c]","25820","25030"
"Leaver CS","2022","20-29","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Black","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Mixed","London","155","[c]","31060","31060"
"Leaver CS","2022","20-29","Mixed","Outside London","195","[c]","23920","22230"
"Leaver CS","2022","20-29","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Mixed","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Other ethnicity","London","50","[c]","33670","31060"
"Leaver CS","2022","20-29","Other ethnicity","Outside London","35","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Undeclared","London","70","[c]","32640","33120"
"Leaver CS","2022","20-29","Undeclared","Outside London","155","[c]","25410","23630"
"Leaver CS","2022","20-29","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","London","1030","[c]","29660","28500"
"Leaver CS","2022","20-29","Unknown","Outside London","2170","[c]","23740","21300"
"Leaver CS","2022","20-29","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","Unknown","195","[c]","26370","21840"
"Leaver CS","2022","20-29","White","London","1100","[c]","32590","31060"
"Leaver CS","2022","20-29","White","Outside London","4160","[c]","24870","22640"
"Leaver CS","2022","20-29","White","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","White","Unknown","85","[c]","23560","21840"
"Leaver CS","2022","30-39","Asian","London","275","[c]","38790","33230"
"Leaver CS","2022","30-39","Asian","Outside London","325","[c]","29960","27570"
"Leaver CS","2022","30-39","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Asian","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Black","London","195","[c]","34750","31060"
"Leaver CS","2022","30-39","Black","Outside London","150","[c]","30080","27570"
"Leaver CS","2022","30-39","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Mixed","London","100","[c]","39020","33940"
"Leaver CS","2022","30-39","Mixed","Outside London","120","[c]","29010","27570"
"Leaver CS","2022","30-39","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Other ethnicity","London","35","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Other ethnicity","Outside London","35","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Undeclared","London","90","[c]","44950","44820"
"Leaver CS","2022","30-39","Undeclared","Outside London","170","[c]","32220","29540"
"Leaver CS","2022","30-39","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Undeclared","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","London","520","[c]","43430","40250"
"Leaver CS","2022","30-39","Unknown","Outside London","1345","[c]","29630","27570"
"Leaver CS","2022","30-39","Unknown","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","Unknown","165","[c]","33240","30780"
"Leaver CS","2022","30-39","White","London","960","[c]","45300","41310"
"Leaver CS","2022","30-39","White","Outside London","3430","[c]","30360","27570"
"Leaver CS","2022","30-39","White","Overseas","20","[c]","[c]","[c]"
"Leaver CS","2022","30-39","White","Unknown","100","[c]","27920","21840"
"Leaver CS","2022","40-49","Asian","London","175","[c]","45260","39960"
"Leaver CS","2022","40-49","Asian","Outside London","210","[c]","31870","27570"
"Leaver CS","2022","40-49","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Black","London","135","[c]","39720","33090"
"Leaver CS","2022","40-49","Black","Outside London","120","[c]","33320","27660"
"Leaver CS","2022","40-49","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Mixed","London","35","[c]","48100","48210"
"Leaver CS","2022","40-49","Mixed","Outside London","70","[c]","31270","27570"
"Leaver CS","2022","40-49","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Other ethnicity","London","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Other ethnicity","Outside London","30","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","London","55","[c]","50930","50030"
"Leaver CS","2022","40-49","Undeclared","Outside London","150","[c]","32100","27570"
"Leaver CS","2022","40-49","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","London","325","[c]","52310","51320"
"Leaver CS","2022","40-49","Unknown","Outside London","860","[c]","32700","27570"
"Leaver CS","2022","40-49","Unknown","Overseas","15","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","Unknown","100","[c]","37030","32700"
"Leaver CS","2022","40-49","White","London","665","[c]","51730","48880"
"Leaver CS","2022","40-49","White","Outside London","2860","[c]","33510","27570"
"Leaver CS","2022","40-49","White","Overseas","15","[c]","[c]","[c]"
"Leaver CS","2022","40-49","White","Unknown","70","[c]","30420","21840"
"Leaver CS","2022","50-59","Asian","London","110","[c]","48260","40400"
"Leaver CS","2022","50-59","Asian","Outside London","140","[c]","33060","27570"
"Leaver CS","2022","50-59","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Black","London","135","[c]","37950","31060"
"Leaver CS","2022","50-59","Black","Outside London","100","[c]","29980","27570"
"Leaver CS","2022","50-59","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Mixed","London","35","[c]","46870","32850"
"Leaver CS","2022","50-59","Mixed","Outside London","65","[c]","32520","27570"
"Leaver CS","2022","50-59","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Other ethnicity","London","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Other ethnicity","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","London","90","[c]","48200","43700"
"Leaver CS","2022","50-59","Undeclared","Outside London","310","[c]","33980","28840"
"Leaver CS","2022","50-59","Undeclared","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","London","230","[c]","53640","44910"
"Leaver CS","2022","50-59","Unknown","Outside London","940","[c]","32990","27570"
"Leaver CS","2022","50-59","Unknown","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Unknown","105","[c]","47100","36990"
"Leaver CS","2022","50-59","White","London","770","[c]","49870","42840"
"Leaver CS","2022","50-59","White","Outside London","5040","[c]","33660","27570"
"Leaver CS","2022","50-59","White","Overseas","20","[c]","[c]","[c]"
"Leaver CS","2022","50-59","White","Unknown","65","[c]","32410","27570"
"Leaver CS","2022","60-64","Asian","London","80","[c]","38310","31880"
"Leaver CS","2022","60-64","Asian","Outside London","65","[c]","36530","29060"
"Leaver CS","2022","60-64","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Black","London","70","[c]","35230","31060"
"Leaver CS","2022","60-64","Black","Outside London","30","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Mixed","London","20","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Mixed","Outside London","40","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Other ethnicity","London","15","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Other ethnicity","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Undeclared","London","65","[c]","39930","35340"
"Leaver CS","2022","60-64","Undeclared","Outside London","335","[c]","32280","27570"
"Leaver CS","2022","60-64","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Undeclared","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","London","85","[c]","48760","42470"
"Leaver CS","2022","60-64","Unknown","Outside London","540","[c]","33460","29330"
"Leaver CS","2022","60-64","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Unknown","60","[c]","44820","39040"
"Leaver CS","2022","60-64","White","London","590","[c]","51910","45490"
"Leaver CS","2022","60-64","White","Outside London","4125","[c]","33850","27570"
"Leaver CS","2022","60-64","White","Overseas","30","[c]","[c]","[c]"
"Leaver CS","2022","60-64","White","Unknown","70","[c]","28620","21840"
"Leaver CS","2022","65+","Asian","London","105","[c]","31810","28650"
"Leaver CS","2022","65+","Asian","Outside London","55","[c]","32210","25110"
"Leaver CS","2022","65+","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Black","London","35","[c]","[c]","[c]"
"Leaver CS","2022","65+","Black","Outside London","30","[c]","[c]","[c]"
"Leaver CS","2022","65+","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Mixed","London","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Mixed","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2022","65+","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Other ethnicity","London","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Other ethnicity","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Undeclared","London","35","[c]","37040","31880"
"Leaver CS","2022","65+","Undeclared","Outside London","215","[c]","29350","27130"
"Leaver CS","2022","65+","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","London","65","[c]","40560","31060"
"Leaver CS","2022","65+","Unknown","Outside London","365","[c]","30910","25930"
"Leaver CS","2022","65+","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","65+","White","London","395","[c]","41270","34630"
"Leaver CS","2022","65+","White","Outside London","3400","[c]","28850","26210"
"Leaver CS","2022","65+","White","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","White","Unknown","55","[c]","25430","21840"
"Leaver CS","2022","Unknown","Asian","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Black","Outside London","[c]","[c]","[c]","[c]"
