"Status","Year","Age","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","AA/AO","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","AA/AO","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","AA/AO","40","30","19610","18310"
"In post","2022","16-19","Declared non-disabled","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","AA/AO","100","95","21630","21260"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","EO","30","30","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care","AA/AO","15","10","[c]","[c]"
