"Status","Year","Disability","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","15","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cheshire","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Cumbria","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","45","40","37450","30130"
"In post","2022","Declared disabled","Attorney General's Departments","Devon","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Anglia","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Wales","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Essex","35","30","40880","36240"
"In post","2022","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Greater Manchester","50","45","41300","46000"
"In post","2022","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","35","30","39290","32570"
"In post","2022","Declared disabled","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Inner London - West","425","395","49770","51830"
"In post","2022","Declared disabled","Attorney General's Departments","Kent","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lancashire","25","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Lincolnshire","[c]","[c]","[c]","[c]"
