"Status","Year","Function_of_post","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Outside London","EO","15","15","26640","26410"
"In post","2022","Analysis","East Midlands (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Outside London","G7","10","10","52320","52600"
"In post","2022","Analysis","East Midlands (England)","Outside London","HEO","25","25","32560","32440"
"In post","2022","Analysis","East Midlands (England)","Outside London","SEO","15","15","40020","39850"
"In post","2022","Analysis","East of England","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Outside London","AO","20","20","21110","21510"
"In post","2022","Analysis","East of England","Outside London","EO","65","60","25430","25010"
"In post","2022","Analysis","East of England","Outside London","G6","15","15","62210","60250"
"In post","2022","Analysis","East of England","Outside London","G7","55","55","49970","48080"
"In post","2022","Analysis","East of England","Outside London","HEO","105","100","30270","29750"
"In post","2022","Analysis","East of England","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Outside London","SEO","105","100","37840","37280"
"In post","2022","Analysis","London","London","AO","65","65","24420","24900"
"In post","2022","Analysis","London","London","EO","305","300","28850","28310"
"In post","2022","Analysis","London","London","G6","470","445","74750","70730"
"In post","2022","Analysis","London","London","G7","1145","1100","57190","56130"
"In post","2022","Analysis","London","London","HEO","1040","1025","35470","34870"
"In post","2022","Analysis","London","London","SCS level","140","135","92040","82310"
"In post","2022","Analysis","London","London","SEO","585","570","43520","42890"
"In post","2022","Analysis","North East (England)","Outside London","AO","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Analysis","North East (England)","Outside London","G7","50","50","53140","52150"
"In post","2022","Analysis","North East (England)","Outside London","HEO","70","65","31880","31900"
"In post","2022","Analysis","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Outside London","SEO","40","40","37720","36780"
"In post","2022","Analysis","North West (England)","Outside London","AO","20","20","21290","21260"
"In post","2022","Analysis","North West (England)","Outside London","EO","45","40","26090","26410"
"In post","2022","Analysis","North West (England)","Outside London","G6","15","15","66430","66610"
"In post","2022","Analysis","North West (England)","Outside London","G7","100","95","54230","55210"
"In post","2022","Analysis","North West (England)","Outside London","HEO","180","175","33090","33370"
"In post","2022","Analysis","North West (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","Outside London","SEO","120","115","39910","40520"
"In post","2022","Analysis","Northern Ireland","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","Outside London","EO","30","30","26920","26540"
"In post","2022","Analysis","Scotland","Outside London","G6","20","20","76540","70400"
"In post","2022","Analysis","Scotland","Outside London","G7","25","25","53130","52980"
"In post","2022","Analysis","Scotland","Outside London","HEO","30","30","34430","34930"
"In post","2022","Analysis","Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","Outside London","SEO","40","35","41340","40340"
"In post","2022","Analysis","South East (England)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South East (England)","Outside London","AO","20","20","20820","20350"
"In post","2022","Analysis","South East (England)","Outside London","EO","80","80","25720","24250"
"In post","2022","Analysis","South East (England)","Outside London","G6","35","30","63180","60940"
"In post","2022","Analysis","South East (England)","Outside London","G7","275","260","50970","50210"
"In post","2022","Analysis","South East (England)","Outside London","HEO","305","295","30910","30710"
"In post","2022","Analysis","South East (England)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","South East (England)","Outside London","SEO","270","255","38870","38340"
"In post","2022","Analysis","South West (England)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","Outside London","AO","20","20","21610","21510"
"In post","2022","Analysis","South West (England)","Outside London","EO","95","90","26090","25880"
"In post","2022","Analysis","South West (England)","Outside London","G6","15","15","66560","67220"
"In post","2022","Analysis","South West (England)","Outside London","G7","85","80","52740","50180"
"In post","2022","Analysis","South West (England)","Outside London","HEO","155","150","31530","31280"
"In post","2022","Analysis","South West (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","Outside London","SEO","135","130","39700","39810"
"In post","2022","Analysis","Unknown","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","Outside London","AO","55","55","20090","19860"
"In post","2022","Analysis","Wales","Outside London","EO","150","140","24970","24030"
"In post","2022","Analysis","Wales","Outside London","G6","50","50","62100","60940"
"In post","2022","Analysis","Wales","Outside London","G7","220","210","51480","50210"
"In post","2022","Analysis","Wales","Outside London","HEO","430","415","31050","30710"
"In post","2022","Analysis","Wales","Outside London","SCS level","15","15","80930","72220"
"In post","2022","Analysis","Wales","Outside London","SEO","380","365","38470","38340"
"In post","2022","Analysis","West Midlands (England)","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","Outside London","EO","20","20","25980","25620"
"In post","2022","Analysis","West Midlands (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","Outside London","G7","15","15","56370","52340"
"In post","2022","Analysis","West Midlands (England)","Outside London","HEO","30","30","33560","33000"
"In post","2022","Analysis","West Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","Outside London","SEO","30","30","42940","40580"
"In post","2022","Analysis","Yorkshire and The Humber","Outside London","AO","30","30","21420","21260"
"In post","2022","Analysis","Yorkshire and The Humber","Outside London","EO","55","55","26130","25270"
"In post","2022","Analysis","Yorkshire and The Humber","Outside London","G6","45","45","66030","66370"
"In post","2022","Analysis","Yorkshire and The Humber","Outside London","G7","140","130","52830","52150"
"In post","2022","Analysis","Yorkshire and The Humber","Outside London","HEO","105","105","32010","31990"
"In post","2022","Analysis","Yorkshire and The Humber","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Yorkshire and The Humber","Outside London","SEO","110","100","38470","37260"
"In post","2022","Commercial","East Midlands (England)","Outside London","AO","10","10","21570","21300"
"In post","2022","Commercial","East Midlands (England)","Outside London","EO","20","20","26480","26240"
"In post","2022","Commercial","East Midlands (England)","Outside London","G6","10","10","73110","65470"
"In post","2022","Commercial","East Midlands (England)","Outside London","G7","20","20","54330","52990"
"In post","2022","Commercial","East Midlands (England)","Outside London","HEO","15","15","31380","31660"
"In post","2022","Commercial","East Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Outside London","SEO","35","35","40170","39470"
"In post","2022","Commercial","East of England","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Outside London","EO","20","20","26770","26350"
"In post","2022","Commercial","East of England","Outside London","G6","15","15","69970","68270"
"In post","2022","Commercial","East of England","Outside London","G7","40","40","55410","53610"
"In post","2022","Commercial","East of England","Outside London","HEO","55","50","32010","31250"
"In post","2022","Commercial","East of England","Outside London","SCS level","10","10","97170","97920"
"In post","2022","Commercial","East of England","Outside London","SEO","75","70","39800","39360"
"In post","2022","Commercial","London","London","AO","40","40","22740","23130"
"In post","2022","Commercial","London","London","EO","110","110","28520","28310"
"In post","2022","Commercial","London","London","G6","305","305","74540","70880"
"In post","2022","Commercial","London","London","G7","655","640","58860","55460"
"In post","2022","Commercial","London","London","HEO","210","205","34400","34260"
"In post","2022","Commercial","London","London","SCS level","200","195","114850","113880"
"In post","2022","Commercial","London","London","SEO","335","330","42900","41750"
"In post","2022","Commercial","North East (England)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","Outside London","EO","15","10","25380","25000"
"In post","2022","Commercial","North East (England)","Outside London","G6","10","10","70030","67010"
"In post","2022","Commercial","North East (England)","Outside London","G7","25","25","57050","53770"
"In post","2022","Commercial","North East (England)","Outside London","HEO","20","20","31180","29550"
"In post","2022","Commercial","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","Outside London","SEO","35","35","37400","36500"
"In post","2022","Commercial","North West (England)","Outside London","AO","10","10","21800","22080"
"In post","2022","Commercial","North West (England)","Outside London","EO","70","65","26320","26290"
"In post","2022","Commercial","North West (England)","Outside London","G6","70","70","71080","67260"
"In post","2022","Commercial","North West (England)","Outside London","G7","155","150","56070","52510"
"In post","2022","Commercial","North West (England)","Outside London","HEO","130","125","31580","30940"
"In post","2022","Commercial","North West (England)","Outside London","SCS level","20","20","96340","86790"
"In post","2022","Commercial","North West (England)","Outside London","SEO","195","190","38970","39330"
"In post","2022","Commercial","North West (England)","Outside London","Unknown","15","15","41220","38240"
"In post","2022","Commercial","Northern Ireland","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","HEO","10","10","36720","34800"
"In post","2022","Commercial","Overseas","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","SEO","15","15","47140","50000"
"In post","2022","Commercial","Scotland","Outside London","AA","20","15","21640","21640"
"In post","2022","Commercial","Scotland","Outside London","AO","50","45","25220","26900"
"In post","2022","Commercial","Scotland","Outside London","EO","50","50","27860","26670"
"In post","2022","Commercial","Scotland","Outside London","G6","20","20","74750","75210"
"In post","2022","Commercial","Scotland","Outside London","G7","55","50","56030","54170"
"In post","2022","Commercial","Scotland","Outside London","HEO","95","95","34230","33300"
"In post","2022","Commercial","Scotland","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Outside London","SEO","80","80","41690","41740"
