"Status","Year","Age","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","South East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","10","10","25960","27500"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scotland","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East of England","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","London","10","10","22390","20370"
"In post","2022","16-19","Crown Prosecution Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Wales","10","10","17820","17450"
"In post","2022","16-19","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Scotland","10","10","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","South East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","South West (England)","90","90","18730","18030"
"In post","2022","16-19","Defence Equipment and Support","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","South West (England)","20","20","19490","21360"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","15","15","25110","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","London","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","East of England","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","London","10","10","26190","25110"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","North East (England)","15","15","21680","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","North West (England)","35","35","22520","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Scotland","10","10","21260","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","South East (England)","10","10","24250","24250"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Wales","10","10","25670","27570"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","West Midlands (England)","10","10","21260","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","25","25","22910","21260"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
