"Status","Year","Ethnicity","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","35","35","42490","39640"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
