"Status","Year","Disability","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","AO","35","30","23280","21260"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","EO","45","40","28420","27570"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","AA","40","40","21950","22140"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","AO","125","110","21470","21260"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","EO","85","75","27530","27570"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","AA","10","5","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","EO","70","60","30810","31060"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","AO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","EO","40","35","30640","31060"
"In post","2022","Declared disabled","Barnet","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","AA","20","20","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","AO","160","140","22480","21260"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","EO","150","130","27520","27570"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","HEO","35","30","33160","32250"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Unknown","65","60","29300","28200"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","60","55","23300","21380"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","270","250","24830","25820"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","50","50","67780","66960"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","130","125","52010","53530"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","330","315","31180","32120"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","355","340","40970","40580"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","190","180","37410","34010"
"In post","2022","Declared disabled","Bedford","Outside London","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","EO","35","30","27690","27570"
"In post","2022","Declared disabled","Bedford","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","HEO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","AO","75","65","21580","21680"
"In post","2022","Declared disabled","Belfast","Outside London","EO","70","65","26980","26820"
"In post","2022","Declared disabled","Belfast","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","HEO","65","60","33240","33370"
"In post","2022","Declared disabled","Belfast","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","Outside London","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","Outside London","AO","90","80","27440","25110"
"In post","2022","Declared disabled","Berkshire","Outside London","EO","100","90","30320","29290"
"In post","2022","Declared disabled","Berkshire","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","Outside London","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","Outside London","HEO","45","40","35350","34130"
"In post","2022","Declared disabled","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","Outside London","SEO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","Outside London","Unknown","45","45","29460","25900"
"In post","2022","Declared disabled","Bexley and Greenwich","London","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","AO","60","55","28400","25560"
"In post","2022","Declared disabled","Bexley and Greenwich","London","EO","80","75","31920","31060"
"In post","2022","Declared disabled","Bexley and Greenwich","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Birmingham","Outside London","AA","35","35","19780","19200"
"In post","2022","Declared disabled","Birmingham","Outside London","AO","370","330","21810","21250"
"In post","2022","Declared disabled","Birmingham","Outside London","EO","455","405","27070","27570"
"In post","2022","Declared disabled","Birmingham","Outside London","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Birmingham","Outside London","G7","95","90","54400","55210"
"In post","2022","Declared disabled","Birmingham","Outside London","HEO","235","225","32820","33080"
"In post","2022","Declared disabled","Birmingham","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Birmingham","Outside London","SEO","125","120","40560","40520"
"In post","2022","Declared disabled","Birmingham","Outside London","Unknown","120","110","30030","28200"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","AO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","EO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Blackpool","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackpool","Outside London","AO","335","295","21120","21260"
"In post","2022","Declared disabled","Blackpool","Outside London","EO","280","250","27500","27570"
"In post","2022","Declared disabled","Blackpool","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Blackpool","Outside London","G7","50","45","51260","49170"
"In post","2022","Declared disabled","Blackpool","Outside London","HEO","85","80","32460","31990"
"In post","2022","Declared disabled","Blackpool","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackpool","Outside London","SEO","70","65","37360","36150"
"In post","2022","Declared disabled","Blackpool","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","AA","10","10","[c]","[c]"
