"Status","Year","Function_of_post","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AO","30","30","21220","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","EO","105","100","25290","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G6","20","20","61520","59680"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G7","60","60","48890","48080"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","HEO","135","130","29860","29750"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SEO","110","105","37160","36580"
"In post","2022","Analysis","Companies House","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Digital, Data and Technology","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Statistics","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","G6","25","25","75650","74480"
"In post","2022","Analysis","Competition and Markets Authority","Economics","G7","35","35","56690","55860"
"In post","2022","Analysis","Competition and Markets Authority","Economics","HEO","20","20","34070","33120"
"In post","2022","Analysis","Competition and Markets Authority","Economics","SCS level","15","15","107440","97750"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","G7","10","10","56830","56360"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","SEO","10","10","44240","43880"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","HEO","15","15","27250","27010"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Delivery","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Delivery","SEO","10","10","38610","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","G7","140","135","50370","47060"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","HEO","60","55","31020","29230"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","SEO","70","70","39620","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Science and Engineering","AO","5","5","[c]","[c]"
