"Status","Year","Disability","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Heterosexual / straight","75","75","41810","41030"
"In post","2022","Declared disabled","Commercial","London","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","Heterosexual / straight","55","50","36420","34290"
"In post","2022","Declared disabled","Commercial","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
