"Status","Year","Ethnicity","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","AA/AO","25","20","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","EO","40","35","27170","27570"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","5","5","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","AA/AO","80","75","25250","24590"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","140","130","29850","29290"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","G6/G7","40","40","63350","62140"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO/HEO","95","95","38800","37640"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Luton","AA/AO","25","15","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Luton","EO","70","65","26970","27570"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Luton","G6/G7","[c]","[c]","[c]","[c]"
