"Status","Year","Age","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","London","AO","10","10","21990","21850"
"In post","2022","16-19","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Outside London","AO","25","25","21400","22200"
"In post","2022","16-19","Attorney General's Departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","EO","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Outside London","AO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Outside London","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","London","EO","10","10","25170","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Outside London","AO","25","25","21270","21300"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Outside London","AA","60","45","18310","18310"
"In post","2022","16-19","Department for Transport","Outside London","AO","30","25","21410","21840"
"In post","2022","16-19","Department for Transport","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","London","AO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","Outside London","AO","105","100","21310","21260"
"In post","2022","16-19","Department for Work and Pensions","Outside London","EO","30","30","27620","27570"
"In post","2022","16-19","Department for Work and Pensions","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","London","AA","5","0","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","Outside London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","London","AO","[c]","[c]","[c]","[c]"
