"Status","Year","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","45","40","38890","38180"
"In post","2022","Attorney General's Departments","Communications","90","90","40840","39290"
"In post","2022","Attorney General's Departments","Corporate Finance","10","10","46840","39290"
"In post","2022","Attorney General's Departments","Counter Fraud","245","240","46670","40270"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","175","170","40810","38180"
"In post","2022","Attorney General's Departments","Finance","215","205","31900","26970"
"In post","2022","Attorney General's Departments","Human Resources","250","245","37120","31560"
"In post","2022","Attorney General's Departments","Intelligence Analysis","10","10","43120","41040"
"In post","2022","Attorney General's Departments","Internal Audit","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","50","45","41020","31270"
"In post","2022","Attorney General's Departments","Legal","5445","5050","56830","55610"
"In post","2022","Attorney General's Departments","Operational Delivery","2895","2680","27060","25480"
"In post","2022","Attorney General's Departments","Other","495","475","34070","27710"
"In post","2022","Attorney General's Departments","Policy","115","110","50840","54760"
"In post","2022","Attorney General's Departments","Project Delivery","100","95","39640","36600"
"In post","2022","Attorney General's Departments","Property","35","35","34180","32050"
"In post","2022","Attorney General's Departments","Security","35","35","33740","31560"
"In post","2022","Cabinet Office","Commercial","350","345","35830","34070"
"In post","2022","Cabinet Office","Communications","20","20","39770","37220"
"In post","2022","Cabinet Office","Digital, Data and Technology","150","150","46300","41420"
"In post","2022","Cabinet Office","Finance","90","90","48340","42300"
"In post","2022","Cabinet Office","Human Resources","50","50","44000","38330"
"In post","2022","Cabinet Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","210","205","41270","38980"
"In post","2022","Cabinet Office","Other","35","35","45300","35590"
"In post","2022","Cabinet Office","Policy","40","35","53020","51630"
"In post","2022","Cabinet Office","Project Delivery","70","70","49900","49700"
"In post","2022","Cabinet Office","Property","150","145","51410","52700"
"In post","2022","Cabinet Office","Security","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","9870","9690","47210","40600"
"In post","2022","Chancellor's other departments","Commercial","10","10","49200","50000"
"In post","2022","Chancellor's other departments","Communications","25","25","45220","44280"
"In post","2022","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Digital, Data and Technology","15","15","52430","47500"
"In post","2022","Chancellor's other departments","Finance","35","30","48610","45860"
"In post","2022","Chancellor's other departments","Human Resources","20","20","43670","42500"
"In post","2022","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Operational Delivery","10","10","51410","47940"
"In post","2022","Chancellor's other departments","Operational Research","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Other","260","245","66100","57250"
"In post","2022","Chancellor's other departments","Project Delivery","25","25","48520","49630"
"In post","2022","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Security","5","5","[c]","[c]"
"In post","2022","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","20","20","41880","37910"
"In post","2022","Charity Commission","Digital, Data and Technology","55","55","34230","29160"
"In post","2022","Charity Commission","Finance","10","10","36620","33810"
"In post","2022","Charity Commission","Human Resources","20","15","33830","29220"
"In post","2022","Charity Commission","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Charity Commission","Legal","25","25","52960","51070"
"In post","2022","Charity Commission","Operational Delivery","290","270","31150","29160"
"In post","2022","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","10","10","40620","37910"
"In post","2022","Charity Commission","Project Delivery","20","20","33900","37910"
"In post","2022","Charity Commission","Property","[c]","[c]","[c]","[c]"
