"Status","Year","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","London","AA/AO","Female","6730","6025","25380","25110"
"In post","2022","London","AA/AO","Male","5145","4980","26960","25330"
"In post","2022","London","EO","Female","12565","11745","30090","30370"
"In post","2022","London","EO","Male","8560","8350","30350","30600"
"In post","2022","London","G6/G7","Female","14955","14230","60060","57910"
"In post","2022","London","G6/G7","Male","14370","14160","61340","59730"
"In post","2022","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","London","SCS level","Female","2175","2060","88230","80000"
"In post","2022","London","SCS level","Male","2305","2270","93910","84990"
"In post","2022","London","SEO/HEO","Female","19010","18435","38400","37930"
"In post","2022","London","SEO/HEO","Male","16575","16375","39130","38560"
"In post","2022","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","London","Unknown","Female","1730","1640","34240","33700"
"In post","2022","London","Unknown","Male","705","685","35710","33950"
"In post","2022","Outside London","AA/AO","Female","70630","60580","21960","21260"
"In post","2022","Outside London","AA/AO","Male","54395","51970","23490","21410"
"In post","2022","Outside London","EO","Female","61920","55485","27300","27570"
"In post","2022","Outside London","EO","Male","47500","45730","27900","27570"
"In post","2022","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Outside London","G6/G7","Female","18335","17355","57380","55210"
"In post","2022","Outside London","G6/G7","Male","20305","19840","58360","55550"
"In post","2022","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Outside London","SCS level","Female","1100","1060","88450","81910"
"In post","2022","Outside London","SCS level","Male","1325","1295","92420","84400"
"In post","2022","Outside London","SEO/HEO","Female","52960","49790","36130","34600"
"In post","2022","Outside London","SEO/HEO","Male","50855","49555","37140","36130"
"In post","2022","Outside London","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Outside London","Unknown","Female","13420","12315","29570","28200"
"In post","2022","Outside London","Unknown","Male","5510","5250","33360","30210"
"In post","2022","Overseas","AA/AO","Female","40","40","22080","21680"
"In post","2022","Overseas","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","Overseas","EO","Female","135","135","27770","27070"
"In post","2022","Overseas","EO","Male","150","150","27640","27170"
"In post","2022","Overseas","G6/G7","Female","555","550","59300","57640"
"In post","2022","Overseas","G6/G7","Male","760","755","59850","57450"
"In post","2022","Overseas","SCS level","Female","125","125","85600","76030"
"In post","2022","Overseas","SCS level","Male","170","165","85280","76930"
"In post","2022","Overseas","SEO/HEO","Female","575","570","38090","35390"
"In post","2022","Overseas","SEO/HEO","Male","950","950","39950","36450"
"In post","2022","Overseas","Unknown","Female","80","80","[c]","[c]"
"In post","2022","Overseas","Unknown","Male","120","120","[c]","[c]"
"In post","2022","Unknown","AA/AO","Female","140","125","22580","21300"
"In post","2022","Unknown","AA/AO","Male","60","55","21980","21260"
"In post","2022","Unknown","EO","Female","265","245","28560","27570"
"In post","2022","Unknown","EO","Male","175","170","27890","27570"
"In post","2022","Unknown","G6/G7","Female","85","80","56860","54700"
"In post","2022","Unknown","G6/G7","Male","80","80","58030","54700"
"In post","2022","Unknown","SCS level","Female","10","5","[c]","[c]"
"In post","2022","Unknown","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Female","315","310","34030","32000"
"In post","2022","Unknown","SEO/HEO","Male","275","275","35070","33300"
"In post","2022","Unknown","Unknown","Female","210","205","32530","30780"
"In post","2022","Unknown","Unknown","Male","1680","1675","37530","33600"
"Leaver CS","2022","London","AA/AO","Female","990","[c]","23090","23720"
"Leaver CS","2022","London","AA/AO","Male","780","[c]","23490","23720"
"Leaver CS","2022","London","EO","Female","1330","[c]","29270","30330"
"Leaver CS","2022","London","EO","Male","870","[c]","29780","30780"
"Leaver CS","2022","London","G6/G7","Female","1040","[c]","59210","56340"
"Leaver CS","2022","London","G6/G7","Male","1040","[c]","60970","59160"
"Leaver CS","2022","London","SCS level","Female","190","[c]","96830","92340"
"Leaver CS","2022","London","SCS level","Male","240","[c]","98870","93000"
"Leaver CS","2022","London","SEO/HEO","Female","1545","[c]","37400","36910"
"Leaver CS","2022","London","SEO/HEO","Male","1290","[c]","38390","37850"
"Leaver CS","2022","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","London","Unknown","Female","235","[c]","[c]","[c]"
"Leaver CS","2022","London","Unknown","Male","85","[c]","[c]","[c]"
"Leaver CS","2022","Outside London","AA/AO","Female","8110","[c]","21170","21260"
"Leaver CS","2022","Outside London","AA/AO","Male","7140","[c]","22130","21260"
"Leaver CS","2022","Outside London","EO","Female","4510","[c]","27110","27570"
"Leaver CS","2022","Outside London","EO","Male","3745","[c]","27540","27570"
"Leaver CS","2022","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outside London","G6/G7","Female","930","[c]","59410","56460"
"Leaver CS","2022","Outside London","G6/G7","Male","1175","[c]","60490","58810"
"Leaver CS","2022","Outside London","SCS level","Female","130","[c]","98590","95140"
"Leaver CS","2022","Outside London","SCS level","Male","125","[c]","100440","98480"
"Leaver CS","2022","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outside London","SEO/HEO","Female","2690","[c]","36740","36240"
"Leaver CS","2022","Outside London","SEO/HEO","Male","3140","[c]","37700","36780"
"Leaver CS","2022","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outside London","Unknown","Female","1040","[c]","33120","30680"
"Leaver CS","2022","Outside London","Unknown","Male","465","[c]","37900","35980"
"Leaver CS","2022","Overseas","EO","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","G6/G7","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","G6/G7","Male","25","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","SEO/HEO","Female","35","[c]","41010","40350"
"Leaver CS","2022","Overseas","SEO/HEO","Male","40","[c]","41170","41090"
"Leaver CS","2022","Overseas","Unknown","Female","5","[c]","[c]","[c]"
