"Status","Year","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","London","AA/AO","AA","1635","1505","23100","22460"
"In post","2022","London","AA/AO","AO","10240","9495","26540","25330"
"In post","2022","London","EO","EO","21125","20095","30190","30470"
"In post","2022","London","G6/G7","G6","9085","8735","69420","67970"
"In post","2022","London","G6/G7","G7","20245","19655","56770","55340"
"In post","2022","London","SCS level","SCS level","4480","4330","91150","82340"
"In post","2022","London","SEO/HEO","HEO","20500","20065","35480","35050"
"In post","2022","London","SEO/HEO","SEO","15090","14745","43160","42170"
"In post","2022","London","Unknown","Unknown","2435","2325","34660","33700"
"In post","2022","Outside London","AA/AO","AA","17030","15410","20430","20560"
"In post","2022","Outside London","AA/AO","AO","107990","97140","22970","21300"
"In post","2022","Outside London","EO","EO","109420","101215","27560","27570"
"In post","2022","Outside London","G6/G7","G6","9530","9175","68750","67770"
"In post","2022","Outside London","G6/G7","G7","29115","28020","54340","53980"
"In post","2022","Outside London","SCS level","SCS level","2425","2355","90620","83230"
"In post","2022","Outside London","SEO/HEO","HEO","61000","58255","33240","33080"
"In post","2022","Outside London","SEO/HEO","SEO","42820","41095","41460","40520"
"In post","2022","Outside London","Unknown","Unknown","18925","17570","30670","28200"
"In post","2022","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","AA/AO","AO","65","65","22260","21830"
"In post","2022","Overseas","EO","EO","285","285","27700","27130"
"In post","2022","Overseas","G6/G7","G6","445","445","66660","65210"
"In post","2022","Overseas","G6/G7","G7","865","865","55990","54560"
"In post","2022","Overseas","SCS level","SCS level","290","290","85420","76600"
"In post","2022","Overseas","SEO/HEO","HEO","1065","1060","36120","34220"
"In post","2022","Overseas","SEO/HEO","SEO","460","460","46490","41950"
"In post","2022","Overseas","Unknown","Unknown","200","200","40510","32790"
"In post","2022","Unknown","AA/AO","AA","20","15","20120","20370"
"In post","2022","Unknown","AA/AO","AO","180","165","22630","21300"
"In post","2022","Unknown","EO","EO","440","415","28290","27570"
"In post","2022","Unknown","G6/G7","G6","40","35","68690","65950"
"In post","2022","Unknown","G6/G7","G7","125","125","54050","53360"
"In post","2022","Unknown","SCS level","SCS level","25","20","96490","87600"
"In post","2022","Unknown","SEO/HEO","HEO","485","480","33100","32000"
"In post","2022","Unknown","SEO/HEO","SEO","110","105","40810","40600"
"In post","2022","Unknown","Unknown","Unknown","1890","1875","36980","33570"
"Leaver CS","2022","London","AA/AO","AA","325","[c]","20850","21650"
"Leaver CS","2022","London","AA/AO","AO","1445","[c]","23850","23720"
"Leaver CS","2022","London","EO","EO","2200","[c]","29470","30540"
"Leaver CS","2022","London","G6/G7","G6","630","[c]","69620","68030"
"Leaver CS","2022","London","G6/G7","G7","1450","[c]","56020","54700"
"Leaver CS","2022","London","SCS level","SCS level","430","[c]","97940","92500"
"Leaver CS","2022","London","SEO/HEO","HEO","1670","[c]","34410","34260"
"Leaver CS","2022","London","SEO/HEO","SEO","1165","[c]","42160","41750"
"Leaver CS","2022","London","Unknown","Unknown","325","[c]","51440","42990"
"Leaver CS","2022","Outside London","AA/AO","AA","2330","[c]","19600","19200"
"Leaver CS","2022","Outside London","AA/AO","AO","12925","[c]","21920","21260"
"Leaver CS","2022","Outside London","EO","EO","8255","[c]","27300","27570"
"Leaver CS","2022","Outside London","G6/G7","G6","600","[c]","71260","69210"
"Leaver CS","2022","Outside London","G6/G7","G7","1510","[c]","55720","54540"
"Leaver CS","2022","Outside London","SCS level","SCS level","255","[c]","99420","95140"
"Leaver CS","2022","Outside London","SEO/HEO","HEO","3285","[c]","33350","33290"
"Leaver CS","2022","Outside London","SEO/HEO","SEO","2545","[c]","41880","40580"
"Leaver CS","2022","Outside London","Unknown","Unknown","1500","[c]","36190","33000"
"Leaver CS","2022","Overseas","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","G6/G7","G6","15","[c]","72280","71830"
"Leaver CS","2022","Overseas","G6/G7","G7","20","[c]","59750","54540"
"Leaver CS","2022","Overseas","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","SEO/HEO","HEO","55","[c]","39560","39030"
"Leaver CS","2022","Overseas","SEO/HEO","SEO","20","[c]","45880","44990"
"Leaver CS","2022","Overseas","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","AA","115","[c]","18480","18310"
"Leaver CS","2022","Unknown","AA/AO","AO","270","[c]","21830","21840"
"Leaver CS","2022","Unknown","EO","EO","125","[c]","27330","27570"
"Leaver CS","2022","Unknown","G6/G7","G6","25","[c]","72780","67940"
